index,unique_id,ds,Naive,Naive-lo-95,Naive-hi-95,HistoricAverage,HistoricAverage-lo-95,HistoricAverage-hi-95,WindowAverage,WindowAverage-lo-95,WindowAverage-hi-95,SeasonalNaive,SeasonalNaive-lo-95,SeasonalNaive-hi-95,ARIMA_manual,ARIMA_manual-lo-95,ARIMA_manual-hi-95,SARIMA,SARIMA-lo-95,SARIMA-hi-95
0,IN,2025-01-01,1848454.0,1757485.8693101278,1939422.1306898722,1643428.9166666665,1062705.0480161693,2224152.785317164,1888686.0,1552178.2721534276,2225193.727846572,1888686.0,1552178.2721534276,2225193.727846572,1848113.9929369069,1799860.4879300443,1896367.4979437694,1848113.9929369069,1799860.4879300443,1896367.4979437694
1,IN,2025-04-01,1848454.0,1719805.6358346543,1977102.3641653457,1643428.9166666665,1062705.0480161693,2224152.785317164,1860125.0,1523617.2721534276,2196632.727846572,1860125.0,1523617.2721534276,2196632.727846572,1847869.9734844947,1732790.0727538145,1962949.874215175,1847869.9734844947,1732790.0727538145,1962949.874215175
2,IN,2025-07-01,1848454.0,1690892.5757755756,2006015.4242244244,1643428.9166666665,1062705.0480161693,2224152.785317164,1849850.6666666667,1513342.9388200943,2186358.394513239,1849850.6666666667,1513342.9388200943,2186358.394513239,1847694.8433192158,1662715.2840208476,2032674.402617584,1847694.8433192158,1662715.2840208476,2032674.402617584
3,IN,2025-10-01,1848454.0,1666517.7386202554,2030390.2613797446,1643428.9166666665,1062705.0480161693,2224152.785317164,1848454.0,1511946.2721534276,2184961.727846572,1848454.0,1511946.2721534276,2184961.727846572,1847569.1542625139,1593762.499077298,2101375.80944773,1847569.1542625139,1593762.499077298,2101375.80944773
4,IN,2026-01-01,1848454.0,1645043.0759913607,2051864.9240086393,1643428.9166666665,1062705.0480161693,2224152.785317164,1888686.0,1412792.2074360228,2364579.792563977,1888686.0,1412792.2074360228,2364579.792563977,1847478.9485635157,1527676.4822994277,2167281.4148276034,1847478.9485635157,1527676.4822994277,2167281.4148276034
5,IN,2026-04-01,1848454.0,1625628.4969549982,2071279.5030450018,1643428.9166666665,1062705.0480161693,2224152.785317164,1860125.0,1384231.2074360228,2336018.792563977,1860125.0,1384231.2074360228,2336018.792563977,1847414.208892893,1465110.5244649071,2229717.893320879,1847414.208892893,1465110.5244649071,2229717.893320879
6,IN,2026-07-01,1848454.0,1607774.9489621753,2089133.0510378247,1643428.9166666665,1062705.0480161693,2224152.785317164,1849850.6666666667,1373956.8741026898,2325744.4592306437,1849850.6666666667,1373956.8741026898,2325744.4592306437,1847367.745919945,1406189.6001778177,2288545.8916620724,1847367.745919945,1406189.6001778177,2288545.8916620724
7,IN,2026-10-01,1848454.0,1591157.271669309,2105750.7283306913,1643428.9166666665,1062705.0480161693,2224152.785317164,1848454.0,1372560.2074360228,2324347.792563977,1848454.0,1372560.2074360228,2324347.792563977,1847334.3999385023,1350783.7684383222,2343885.0314386827,1847334.3999385023,1350783.7684383222,2343885.0314386827
