NDC,ATC4 Class
70677001601,A02BC
64980045206,C05AA
00054429725,C03CA
00113044301,R01AD
00591040801,C09AA
59676032000,B03XA
51754506001,C05AA
63481062970,N02AA
67405083512,D10AE
45802006336,C05AA
70954001410,N05AF
42494030124,C05AA
43553324908,D02AC
23155037842,A04AA
45802004935,H02AB
61748001206,J04AK
43598029590,N02BF
65862058605,C09AA
46122041403,J01GB
60432056061,D07AB
00185007060,C10AA
00555088602,G03FB
00472037045,A07EA
64980037403,N06BA
16103036911,A12AA
59762048901,C05AE
70069002101,H02AB
67457042130,S01CB
43598044674,N07BA
43598052836,S01EB
00378876893,A06AH
63323031510,S01AD
51672138104,J01FF
00472033720,D07AA
63323030494,J01CR
63323049157,S02DA
49884012305,C07AG
52565002359,H02AB
63323016501,D10AA
68180084013,G03AA
00168000580,D07AB
00121077308,S01CB
51672209208,R06AX
65162053750,R05DB
63323048717,S02DA
72508020410,J01CR
31722019205,N02AJ
70121165301,R01AD
24385002868,N02BA
00003052711,L01EA
50102021116,G03AD
00409673013,D11AX
70000026401,R02AX
51672530104,D07AC
65862077785,G03AA
69097017353,R03BB
24338010203,D10AF
00054418625,S03BA
00185014460,C01BD
76282031201,C02DB
00409272002,S01XA
71930003512,C07AG
67877025145,D02AA
00093816201,N05AH
55111023190,B01AC
54879000308,D10AA
68462019005,G02CC
00113206126,R05CA
48102004701,C05AA
70121165501,D07XB
47335070713,N03AX
00430054050,L02AA
63739054510,C03DA
51991008490,V04CX
67877022210,N02BF
00378405091,J05AG
00904025059,R06AX
60505258103,S01AA
28595080316,R06AX
00904671772,R06AE
59762007501,D07XA
00781104701,N05AB
36000024201,J01GB
58809019860,R05CA
51672201302,A01AC
68982064302,B05AA
70710122801,N06AA
51991007405,N02AJ
76204060060,R01AX
00781603958,J01CA
76045010610,C05AA
52817036110,C07AB
24385060490,C01EB
00135018114,A12AA
67877019705,C08CA
68180089373,G03AA
00884029301,G01AF
00591352511,R02AD
00113064771,G02CC
68382005001,M01AC
41616022090,M01AB
29300022652,P01AB
76282021230,N06AB
51672201602,S01AA
66794020741,J01CA
40076062405,J05AB
00904641861,M03BX
68382031818,A01AB
65162076110,B01AA
00009087021,G01AA
00143972301,N02CX
63323050830,J01DH
63304063201,N06AB
00338050548,J01GB
00173088210,D07AC
00713063537,R03BA
00409798303,B05XA
55513002801,B03XA
68462050481,G03AC
57237003375,J01CA
17478071131,D04AB
50268064411,N02BE
00168035755,R02AD
47335023596,L04AX
68084014911,H02AB
68084007001,S02AA
00591376830,R03BA
42858010450,N02AJ
62756044602,M03BA
23155029031,J01GB
51862049430,D07AC
00054054844,S02DA
60793060010,J01CE
14789001401,R01AB
00603116158,A03AA
00093310905,J01FA
00113051634,S01GA
63868024408,R01BA
45802010901,A01AC
65628020810,J01XA
47335093890,R01AC
70069023201,S01GA
68180016013,J01FA
68462039484,G03CA
00113068526,M02AA
00023520660,J04BA
68462019005,M01AE
00173073701,N02CC
00781712983,G03CA
52565002329,A07EA
00517611025,B05XA
63323020805,D04AB
43538094060,R02AB
16729011411,L01CB
43547039303,C09DA
24385014976,A09AA
00378395209,C10AA
00065079550,A12CA
63323049297,C05AD
65862058501,C08CA
51672128001,S01BA
64980019501,C03AA
00781578501,N02AA
42023015925,S01EA
00054817925,C05AA
63323001302,A11DA
00591207072,N01BB
68462026630,N06BA
00574985510,R01AD
64380071307,R05DB
00054350547,S01HA
50991078490,S01GA
63323049227,D04AB
68001028106,M01AB
63323037062,J01CA
49348077534,C01CA
00904546335,R02AX
61953000503,J06BA
00172208360,C03AA
50102022823,G03DC
70121157701,S01FB
00264761210,B05XA
31722070430,J05AB
16729027611,L01BC
45802046611,D01AC
63323075101,R01BA
68047014316,S01GA
00406192403,N02AE
51672302002,N01BB
00517611025,A12CB
00143974505,A04AA
68645019059,C07AB
00469060773,D11AH
00409672723,A06AD
68180077106,C09CA
50458025106,G03CA
52565001259,S02BA
17478019005,C01BB
