NDC,ATC4 Class
68047070221,D10AA
00641036721,S01CB
68382065001,C01DA
63323002425,B05CX
68001025321,D01AC
00378002301,C08DB
43547033003,C09CA
00406052362,N02BE
50111078766,S01AA
00316019330,A01AC
69097017364,R01AX
00316022855,D10AE
50228043305,M01AE
49884079009,C09DX
00169280015,A10BJ
68047070221,S03BA
69097012315,N03AX
36000004824,J01MA
43547027511,N06DA
00093227434,J01CR
00378345823,R01AD
63304062301,C07AB
00641622901,R01AA
52268010001,B05XA
64980032005,C05AA
71858005004,H03AA
70437024018,L01EH
49483001110,C10AA
59746017106,A07EA
00904561161,C09AA
62756014202,A10BA
13107004605,N02AJ
00597004137,C09CA
70700026305,J01CA
00009090211,G01AA
68180084613,B03AE
37205067626,N02BE
55111068305,M02AA
59746017706,M03BX
33342033215,D07XB
42543070210,N06DA
70408018534,D04AA
00378727453,B03AE
55111018015,M03BX
00536781710,A02AC
27241005408,N05AX
00555051302,S01EC
69292072225,M01AE
39822041206,S01AA
50222030266,D05AX
68025004710,M03BB
00065041928,S01KA
00143961910,B03BA
66758019006,A12BA
00409904516,R01AA
68084022911,L04AX
50268014411,V03AB
59762446001,N02BF
00527237032,J01FA
42543014201,C05AA
76282025030,N06AB
59088081914,S01BA
70165030030,N06BA
62856029038,N03AX
13668048501,D10AF
51285012570,L02AA
16729002110,A10BG
51079028420,N05BA
00378180904,H03AA
31722072150,S01AE
00603154358,B05XA
64380072406,A11CC
00591457560,A01AB
51862054506,G03AC
00168025815,R01AD
00781542110,A10BG
70594004601,S01AA
00990711609,B05CB
00409116202,N01BB
53746014601,R05DA
52565001059,A01AC
13107001905,N02BE
75987013015,L04AG
45802044102,R03BA
24208079535,D07AB
43386043101,N02AA
00006306901,J05AG
68462057547,S01BA
00067810012,D01AE
45802001402,D07XA
69547035302,V03AB
00536108901,C01EB
00168001231,J01XX
49884025701,D11AX
43598096630,N05AX
46122001062,G02CC
43547031309,C09DA
00054350049,R02AD
00185015201,C09AA
49502042593,J05AF
00113051634,C05AX
49348086348,A03AX
00121089050,S01AA
45802000402,C05AA
24208041115,S01GA
68180086473,G03DC
00338960824,B05CB
62332046560,D07AD
64380074208,N05BE
62856028230,N03AX
16571041110,J01MA
42543049305,N04BB
43598034530,L01EA
70000021304,R06AX
00002323030,N06CA
00781139601,N05AD
00904555124,D04AA
66993093861,S01CB
00002771227,A10AD
00338070948,A12BA
00003364111,V03AX
30698042312,N03AF
65862094088,G03AC
00409427801,D04AB
70000003203,A02BC
63323016505,S01CB
00591288201,C08DA
71288040311,B01AB
00904671015,V06DC
51672407401,S02BA
60687043198,A06AD
63323045401,N02AA
68462079917,H02AB
60687012811,C09CA
00591544301,A07EA
00472073542,S02AA
68180061110,J01DD
68180035205,N06AB
62559023001,C01BC
00135047402,N07BA
63323001020,D06AX
16714065102,S03AA
00228280111,S01EB
51079051101,R06AE
00555904558,L02AA
00409189201,N02AA
63323048921,A01AD
00121097800,R05FA
16729021810,B01AC
00093681655,A07EA
60505311308,N05AH
42858050203,N07BC
13107003205,N06AX
00597028090,A10BD
51672135108,G01AX
00555901079,G03AB
00187000402,L04AC
43547037503,C09CA
51991070401,N05BA
00904640180,G04CA
00703904001,J01GB
00121086800,D01AA
00409475901,A04AA
00169183711,A10AB
00065064710,D07AB
68462010960,N03AX
23155029041,J01GB
51672136307,S01BC
72606000701,N02BF
