NDC,ATC4 Class
00409781137,D06BX
68180026001,N03AG
68462018556,S02BA
45802016972,A10BH
62332008071,C03AA
63044019862,B03BA
52817018210,N02CX
00121089340,S02AA
13107008499,N05BA
60687062001,A03FA
00527150337,N06BA
69097020902,J05AF
68001026522,L01CB
00904629161,C10AA
00093598527,B02BC
16571068101,N03AF
00713066460,C05AA
16714004107,M04AA
00069098038,L01EX
68462038537,D07XC
62332063931,D04AX
61269016150,A11DA
70594007901,J01CG
61314063710,D07XA
00378729953,G03AB
70000016202,R01BA
68180019506,C09CA
00281032608,C05AE
49230053401,B03AB
65862053375,J01CA
00115169430,B02BC
42543040601,A12BA
62332058631,N04BB
51672135303,C05AA
72578008801,D07XB
71776010005,D07XB
59651036105,G02CC
00115174101,N06BA
51862054005,D11AX
42192014708,S01AB
13107015699,N06AB
69339013815,D09AA
00781202005,J01CA
63868086854,R05DA
60505476606,N07BA
65162005450,N06AB
00781598701,N03AF
00168002016,D07XA
00485008001,R06AB
64950037316,R05DA
61958120101,V03AX
24208029525,C05AA
70860021710,L01XX
50228048401,C08DB
00456201001,N06AB
51862054506,G03AC
00591264001,N06BC
64679092602,C09AA
25021020111,R05CB
67108356509,V03AF
67386042201,N07XX
67877027590,J01FA
60505009500,C02CA
00338011702,A12AA
69097084053,R03CC
68180086673,G03CA
51991000633,N06AX
63323048701,R02AD
66689002050,G03DB
70756064025,S01HA
00093914901,N06AX
24208038762,A11JB
00378181310,H03AA
51672201302,A01AC
42023018910,N07AA
00555105586,D10AD
00409196607,B05CB
65862094760,S01ED
60505620202,L04AD
63323046037,B02BC
16714082802,S01BA
50111045601,G04BD
00378731685,G03AB
60505615700,J01CA
00006057582,A10BA
54123011430,N07BC
00009001201,A01AC
70069002501,D10AA
68462033490,N04BC
00781921491,J01CR
50222030350,D10AX
64950037416,N02BE
33342009441,N02CC
62135021010,V04CX
00173069604,R01AD
45802004611,D06AX
68382018401,A10BB
60758061525,J01MA
70860045410,H01BA
00781207410,C03EA
60793070210,S01AA
70512001315,D04AB
23155062041,R01AA
00113945839,S01GX
81298578101,C05AA
67877014930,N05CD
58657015110,V04CX
00832107430,N03AX
00378048001,C08CA
60687043198,A06AD
00603533815,H02AB
00781232106,A04AD
67877059005,C07AB
55111012506,S01AE
39822301503,D01AA
00536322301,A11CC
63304045101,N02AA
42858072101,N06BA
59353022010,B03XA
00338050206,B05BA
45802005911,D01AA
00409490234,B05CX
43547029010,N06AX
00338105548,J01XD
51672300803,D04AB
65862004824,J05AF
00121089315,R02AA
00517671001,G04BA
65862064960,N06DA
69097094415,C10AA
53746061701,N02AX
69367023705,N06AB
17478020115,C05AX
27808008202,N02AA
51672138808,D10AX
00049052083,S01AA
76282064501,G04BE
46122042862,R01BA
00990710709,V06DC
65862014301,C07AG
43386016106,G02AD
24208083060,D06AX
00378730653,G03CA
55111029190,N02CC
00713022980,S01BA
50102022023,G03CA
13107007501,N02BE
66993008696,R03BA
70677014401,R05FA
00603188016,D04AB
62011009901,B05CA
62584026501,C07AB
16729042101,D11AH
55111014810,N06AB
63323049241,N01BB
16714033001,N02BF
00264761210,B05XA
24385005978,M01AE
70512010230,A07AA
16714071503,J01CA
00487020103,R03AC
82347050504,N01BB
63323011728,L01BC
63323028442,S01AA
00006011228,A10BH
52709150103,V01AA
13107015590,N06AB
00025152551,L01XX
68012030930,R03BA
61314065610,S02AA
00378021810,C07AB
66993008379,N02CC
45802013326,M02AA
67877074601,L01EG
00406048501,N02BE
72888001401,M03BX
00054418025,R01AD
63323016425,G04BA
00409488802,A12CA
00904708161,C08CA
68001052645,H02AB
13925053601,N06BC
60687052601,G01AF
00003089331,B01AF
00536338701,N07BA
00378265801,N02AA
57664024188,N05AH
51862086606,L02AA
00409610202,C03CA
21922000221,D10AF
60505708800,N07BA
68001013200,C08CA
62037059990,C05AE
00574018105,B05XA
17478079225,N01BB
82194051002,D03AX
51991035006,N03AX
00121097410,A02BX
59572050121,L04AX
51672402606,G01AF
00597015570,R03AL
62332002930,C09CA
59651048601,H02AB
11980018015,A07EA
63323049243,C01BB
00338113003,B05BA
60842002201,C01CA
00409020110,L01CD
76329334001,A03BA
00069018821,L01EF
68382024701,R05DB
00143926110,J01DB
23155066203,A11CC
65862053750,J01MA
00023932115,D11AX
66993087878,D05AX
55135013201,L01FX
66794020602,J01CA
68462050481,G03CA
54838051080,G04BD
00378428785,N02CC
72572012025,S01BA
43598030390,G04CB
00054418625,S01CB
00904427451,D04AA
71288020302,C03CA
00054350547,R02AD
59088039654,D04AB
63739090128,S01XA
55724021121,D11AH
61442043205,C08CA
66993073002,D10AA
68001040403,N03AX
70069080101,C01CA
60219157401,D07AA
00904726661,A01AC
00143972401,S01EA
49483000310,A06AB
51672129203,D07XA
66794021402,J01DD
23155084703,C09DB
00121090204,S03BA
68094060061,C01EB
00713050324,D07AA
00574027930,N06AB
51672407904,D07AB
65862023060,N03AX
51672201302,S02BA
00409205020,A06AD
70436002182,S01AA
55111053305,N03AG
68180012101,J01DB
00143968125,D11AA
39328002530,R02AD
64896066101,N04BA
65162080251,L01AX
00009001201,S02BA
00378064110,H02AB
63323048605,S01HA
00187517045,L01XF
00113006510,D11AX
50474050015,N05CD
16729028912,N05BE
33342032715,S01BA
