Model,MAE_Mean,MAE_Median,MAE_Std,MAE_Min,MAE_Max,SMAPE_Mean,SMAPE_Median,SMAPE_Std,SMAPE_Min,SMAPE_Max
LightGBM,13562.655192301783,7452.19672357108,20323.492799347103,28.499393680482626,141316.09556862758,17.54979409428538,13.4370832575353,14.759381577266616,1.1658811239569546,79.85010613261329
XGBoost,16151.934845554828,8543.731567382812,28701.66949454792,97.85294342041016,218576.31640625,18.403901301246258,14.767114727073476,13.988344362791105,1.8896566447200183,77.3625520174102
RandomForest,14506.424618837973,7282.51245699502,23263.674163191292,37.92824402338195,154452.09672066604,17.27554199421464,13.498540811632177,13.913656881245599,1.826505941848824,79.34988456557905
Ridge,13919.774633000812,9573.72686133767,10809.411391840229,2405.5613003815615,72318.5464523792,29.906608325138723,20.701150392883545,25.34624877062575,1.9233090872892205,92.69725605127347
