State,Year,Quarter,Average_pop
AK,2014.0,1.0,107998.33333333333
AK,2014.0,2.0,115946.0
AK,2014.0,3.0,118862.33333333333
AK,2014.0,4.0,120304.33333333333
AK,2015.0,1.0,124527.66666666667
AK,2015.0,2.0,126642.66666666667
AK,2015.0,3.0,120278.66666666667
AK,2015.0,4.0,135703.0
AK,2016.0,1.0,151430.33333333334
AK,2016.0,2.0,157028.0
AK,2016.0,3.0,161079.33333333334
AK,2016.0,4.0,173380.66666666666
AK,2017.0,1.0,180677.66666666666
AK,2017.0,2.0,184889.33333333334
AK,2017.0,3.0,184185.66666666666
AK,2017.0,4.0,193784.66666666666
AK,2018.0,1.0,196836.33333333334
AK,2018.0,2.0,198563.0
AK,2018.0,3.0,205991.0
AK,2018.0,4.0,206503.66666666666
AK,2019.0,1.0,207064.0
AK,2019.0,2.0,205735.33333333334
AK,2019.0,3.0,213297.33333333334
AK,2019.0,4.0,213974.33333333334
AK,2020.0,1.0,215320.0
AK,2020.0,2.0,220452.33333333334
AK,2020.0,3.0,224144.0
AK,2020.0,4.0,231242.33333333334
AK,2021.0,1.0,235796.66666666666
AK,2021.0,2.0,240709.66666666666
AK,2021.0,3.0,242994.66666666666
AK,2021.0,4.0,247014.66666666666
AK,2022.0,1.0,250337.66666666666
AK,2022.0,2.0,252925.33333333334
AK,2022.0,3.0,254849.66666666666
AK,2022.0,4.0,257069.33333333334
AK,2023.0,1.0,259400.33333333334
AK,2023.0,2.0,260180.66666666666
AK,2023.0,3.0,250610.33333333334
AK,2023.0,4.0,244210.33333333334
AK,2024.0,1.0,243760.33333333334
AK,2024.0,2.0,244265.0
AK,2024.0,3.0,244104.66666666666
AK,2024.0,4.0,239885.66666666666
AL,2014.0,1.0,1004433.3333333334
AL,2014.0,2.0,1026705.0
AL,2014.0,3.0,1044615.6666666666
AL,2014.0,4.0,1049282.3333333333
AL,2015.0,1.0,1049218.0
AL,2015.0,2.0,1049405.0
AL,2015.0,3.0,1052562.3333333333
AL,2015.0,4.0,1047963.6666666666
AL,2016.0,1.0,1046428.0
AL,2016.0,2.0,1042295.6666666666
AL,2016.0,3.0,1037516.6666666666
AL,2016.0,4.0,1030187.6666666666
AL,2017.0,1.0,1019973.0
AL,2017.0,2.0,1016816.0
AL,2017.0,3.0,1019782.0
AL,2017.0,4.0,1018509.6666666666
AL,2018.0,1.0,1020837.6666666666
AL,2018.0,2.0,1022330.3333333334
AL,2018.0,3.0,1022206.0
AL,2018.0,4.0,1029058.0
AL,2019.0,1.0,1032761.0
AL,2019.0,2.0,1033221.6666666666
AL,2019.0,3.0,1043193.3333333334
AL,2019.0,4.0,1048775.0
AL,2020.0,1.0,1053454.3333333333
AL,2020.0,2.0,1073171.0
AL,2020.0,3.0,1103095.0
AL,2020.0,4.0,1132700.0
AL,2021.0,1.0,1157577.6666666667
