unique_id,cutoff,metric,LightGBM,XGBoost,RandomForest,Ridge
IN_N04,2021-10-01,mae,122605.06475159642,146835.75924999997,149078.32451897656,453317.4403334159
IN_N05,2021-10-01,mae,3718325.055195434,3460817.1337499996,2400641.464414664,779011.0865272018
IN_N06,2021-10-01,mae,6279317.418963374,6874139.563750001,9093486.929526761,1578220.7294690916
IN_N07,2021-10-01,mae,793634.5910135441,821225.2764999999,752726.4311847675,882535.8325843503
IN_P01,2021-10-01,mae,83033.43493249197,79682.13506249999,65569.76539483218,418711.7324939669
IN_P02,2021-10-01,mae,25614.872907193367,123380.81494140625,8105.151729236309,393445.1924644571
IN_P03,2021-10-01,mae,103082.51805330165,109670.515625,103579.90743764854,516583.05366164347
IN_R01,2021-10-01,mae,755918.4944669968,765134.9016249999,819753.368588821,1143587.6107262983
IN_R02,2021-10-01,mae,1407209.8761528393,1362027.154375,1251576.4830471592,1492330.7544407686
IN_R03,2021-10-01,mae,969129.144535044,1328468.3587500004,720466.9063589983,2345014.061658092
IN_R05,2021-10-01,mae,1079545.0754821706,1139561.7415,1053554.7911922163,628269.5087471791
IN_R06,2021-10-01,mae,1535278.320343589,2599697.0615,823677.1278010955,1933258.190699832
IN_R07,2021-10-01,mae,79671.26583193336,137771.771484375,3835.869067114688,381553.3869317098
IN_S01,2021-10-01,mae,1235139.2657201234,1233044.361,1172383.3059468307,1359428.3739254656
IN_S02,2021-10-01,mae,941001.4510674746,939551.6278125,918320.3925396288,1123113.000735288
IN_S03,2021-10-01,mae,374642.5571451676,287855.869078125,418350.8126764503,606409.4574260716
IN_V03,2021-10-01,mae,715398.4300849631,627506.855,636506.597816333,652145.0478246767
IN_V04,2021-10-01,mae,424182.3324950796,358750.017,416105.31692370924,729776.6568165363
IN_V07,2021-10-01,mae,57006.79514461694,61848.904375,54802.84343313529,473027.54208504147
IN_A01,2022-10-01,mae,829797.785899353,956148.3257500001,946594.1871236841,1027316.9765162107
IN_A02,2022-10-01,mae,1564061.4292221135,1103106.1712500001,1202904.4246688439,1190465.3251062185
IN_A03,2022-10-01,mae,872369.9051401506,867937.71875,595985.7040792707,691071.6481630694
IN_A04,2022-10-01,mae,230501.35719113328,244760.07374999998,230415.2798149097,158917.0744396942
IN_A05,2022-10-01,mae,96805.88107989985,38962.222632812496,4605.013873823529,257899.5584720719
IN_A06,2022-10-01,mae,1497673.1458552615,1470002.1200000006,2336040.418952573,1106194.366442122
IN_A07,2022-10-01,mae,389220.0272369457,376807.94299999997,341164.0587311777,494465.76431909914
IN_A09,2022-10-01,mae,107301.922923448,112404.0625,184100.20826514348,358982.23215837055
IN_A10,2022-10-01,mae,947066.9279858461,1047156.7387500003,2027522.359120745,1106107.843214049
IN_A11,2022-10-01,mae,212458.5629050256,234405.34546875002,256036.67719107453,63113.4615679267
IN_A12,2022-10-01,mae,13305655.427745173,13541069.99,12981471.353674099,12345946.143209482
IN_A16,2022-10-01,mae,106721.25841747643,129811.9755,78864.09987070458,336888.89091374644
IN_B01,2022-10-01,mae,300872.6131291399,351342.49262499996,485558.14214562596,532441.8254598158
IN_B02,2022-10-01,mae,1075750.8349326837,889504.544375,727230.9143415323,1310277.6079063592
IN_B03,2022-10-01,mae,469329.3234262771,419001.963125,465582.70364084083,406944.52393226424
IN_B05,2022-10-01,mae,13425677.633711657,12261660.752125,11143155.823110312,10817071.244364915
IN_B06,2022-10-01,mae,160246.4132313705,178508.36940625,101908.58821430337,302927.3050888233
IN_C01,2022-10-01,mae,694799.286027319,694464.3805,709275.4302459573,556927.0707726406
IN_C02,2022-10-01,mae,496160.1766004435,473601.718875,489082.9258742792,518976.54121651757
IN_C03,2022-10-01,mae,597239.5984219594,655462.6356249999,899950.5036738729,683438.8947686008
IN_C04,2022-10-01,mae,136955.5081014055,161589.0703125,7729.421551435924,265813.843018489
IN_C05,2022-10-01,mae,174185.91536951755,129922.07081250001,135200.36368842167,358674.06912598625
IN_C07,2022-10-01,mae,572959.8277824572,822975.0070000001,534477.3150259815,863640.9668224591
IN_C08,2022-10-01,mae,243756.36669297155,195992.75,219163.59388442623,391173.0808032704
IN_C09,2022-10-01,mae,1300091.901262479,1399997.9506249998,1104809.637244869,949733.8961768732
IN_C10,2022-10-01,mae,350061.1949956784,616506.603,359889.1054999996,551998.9025576107
IN_D01,2022-10-01,mae,282705.58422622224,261520.43225000004,187497.02723631312,191763.6200116367
IN_D02,2022-10-01,mae,162956.7597363098,126930.24337500002,154843.38702375977,207689.35207921336
IN_D04,2022-10-01,mae,98254.62375968257,237610.09887499997,170177.30345567956,326545.34001151234
IN_D05,2022-10-01,mae,88867.56733884219,78568.98984375,25845.02165265222,224130.20422062313
IN_D06,2022-10-01,mae,299328.7886205147,262995.6270625,373064.0282414543,675511.0290234705
IN_D07,2022-10-01,mae,368389.02052766096,359636.197375,380694.0460099946,397498.1892554887
IN_D08,2022-10-01,mae,982071.2746156721,1029830.703125,1135779.8071299798,1786236.036835469
IN_D10,2022-10-01,mae,342919.65385690285,332513.9985,342150.9415179682,407643.50107406185
IN_D11,2022-10-01,mae,265566.9579142806,318580.47275,337079.82007559267,369597.75366875477
IN_G01,2022-10-01,mae,766460.8934327043,760432.6835,730955.4967178863,820141.8568212637
IN_G02,2022-10-01,mae,599510.82768768,551730.4691875,434067.4163253716,655540.0596459045
IN_G03,2022-10-01,mae,258905.27706853003,268326.124375,367145.2322276407,274645.93814868364
IN_G04,2022-10-01,mae,602483.7674717335,674056.415625,604909.0585095303,920400.9701917928
IN_H01,2022-10-01,mae,140447.28962240956,129098.09609375,60885.72328343016,284122.1737035327
IN_H02,2022-10-01,mae,363273.47234535555,305758.69162500004,360358.9134873915,367883.9074303783
IN_H03,2022-10-01,mae,237275.5711894082,294656.6215,344339.04490121023,605666.1374281084
IN_H04,2022-10-01,mae,143562.40975565554,124665.230078125,1074.7757771480133,257995.4794729947
IN_H05,2022-10-01,mae,123599.68664743072,68732.740859375,7542.688069322659,261133.92845581617
IN_J01,2022-10-01,mae,6906125.792106363,2779367.05375,6068020.824064451,2725143.604658518
IN_J02,2022-10-01,mae,246296.2355899262,220179.0071875,151831.015478025,437491.2918160475
IN_J04,2022-10-01,mae,127862.9612523084,142674.7896484375,5375.534079478102,253556.62325814794
IN_J05,2022-10-01,mae,415108.4496768495,406951.15712499997,429833.573502914,1056158.6838757503
IN_J06,2022-10-01,mae,80492.0239372421,94971.7845,56959.81871713465,229969.01198860226
IN_L01,2022-10-01,mae,93037.61970137585,107016.8595,170914.55230433954,379805.81470409187
