unique_id,ds,cutoff,y,LightGBM,XGBoost,RandomForest,Ridge,horizon
IN_A01,2020-01-01,2019-10-01,1709043.485,1935787.3853112373,1.5485518e+06,2004423.2457446936,-2605794.9422385395,1
IN_A01,2020-04-01,2019-10-01,3696006.933,1705079.4067792958,1.4657099e+06,1668756.5818052923,-15455180.704675049,2
IN_A01,2020-07-01,2019-10-01,1669084.205,1452784.933195297,1.335021e+06,1730131.9118620218,-34181042.81672877,3
IN_A01,2020-10-01,2019-10-01,1331393.98,3031203.6847368544,2.6226248e+06,2854149.7603612794,-56219058.041969895,4
IN_A01,2021-01-01,2019-10-01,963008.973,2787019.0350182997,2.691875e+06,2939399.952394788,-83749557.05426869,5
IN_A01,2021-04-01,2019-10-01,4340354.28,1829411.4209746295,1.6116629e+06,1815877.8903177644,-113759624.2669723,6
IN_A01,2021-07-01,2019-10-01,2106043.99,1617641.6723093402,1.6568626e+06,1813093.248886635,-146976584.20341203,7
IN_A01,2021-10-01,2019-10-01,1598343.514,1586682.9838390024,1.576638e+06,1852908.3191474653,-183239153.09608772,8
IN_A02,2020-01-01,2019-10-01,5193283.959,5123007.830797752,5.45745e+06,5361338.211358682,1537303.0975587368,1
IN_A02,2020-04-01,2019-10-01,6093064.677,5396250.854671178,5.354037e+06,5374177.197229022,-11544937.190276653,2
IN_A02,2020-07-01,2019-10-01,7018415.467,4928342.007959724,5.5796125e+06,5283716.188137119,-30109124.618611574,3
IN_A02,2020-10-01,2019-10-01,6596111.597,5347045.744741281,5.6602245e+06,5283523.225152475,-51656336.08594683,4
IN_A02,2021-01-01,2019-10-01,7525641.502,5185816.406554471,5.586403e+06,5283523.225152474,-79076479.04458979,5
IN_A02,2021-04-01,2019-10-01,8609615.162,5180127.6191586405,5.653245e+06,5283523.225152475,-109454031.1835044,6
IN_A02,2021-07-01,2019-10-01,8542591.41,5135776.530021083,5.59795e+06,5450479.511243123,-142812921.37395802,7
IN_A02,2021-10-01,2019-10-01,8475935.941,5135925.1263646055,5.520574e+06,5618339.40841456,-179073608.3111793,8
IN_A03,2020-01-01,2019-10-01,1498643.354,1382841.1323665292,1.4717774e+06,1711256.6393444594,-2722219.734762728,1
IN_A03,2020-04-01,2019-10-01,1568003.071,1496052.8069854113,1.5509534e+06,1705777.9137975783,-15594433.73668009,2
IN_A03,2020-07-01,2019-10-01,1557340.088,1502811.7875970027,1.5100544e+06,1747978.8553049178,-34333668.36964077,3
IN_A03,2020-10-01,2019-10-01,1747831.338,1396867.3110580046,1.4603784e+06,1747978.8553049173,-55963913.7931084,4
IN_A03,2021-01-01,2019-10-01,1830864.313,1352000.792835917,1.4034706e+06,1757827.2767589411,-83268564.11831456,5
IN_A03,2021-04-01,2019-10-01,1892065.867,1493111.8555979596,1.4520406e+06,1757827.276758942,-113618810.40327439,6
IN_A03,2021-07-01,2019-10-01,2079353.15,1732329.3117399535,1.5614714e+06,1786867.0668854318,-146974369.51948056,7
IN_A03,2021-10-01,2019-10-01,2081602.845,1442574.2708014874,1.5064978e+06,1766910.2977949192,-183129189.44735792,8
IN_A04,2020-01-01,2019-10-01,932560.789,836369.4834004372,904444.5,895550.1616038318,-3311671.340797901,1
IN_A04,2020-04-01,2019-10-01,750439.212,716926.8443368978,839083.4,893355.8730574239,-16285454.552300423,2
IN_A04,2020-07-01,2019-10-01,909879.302,679061.543554245,832970.94,947207.6693360531,-34973540.16523811,3
IN_A04,2020-10-01,2019-10-01,940787.698,741268.877076574,879287.2,947207.6693360533,-56566090.41814324,4
IN_A04,2021-01-01,2019-10-01,1070928.672,929934.5594410776,924436.4,955989.0546847637,-83914702.49113503,5
IN_A04,2021-04-01,2019-10-01,1220608.358,715905.3641468004,894176.44,947207.6693360533,-114274738.44362178,6
IN_A04,2021-07-01,2019-10-01,1200296.697,678040.0633641476,899084.4,947207.6693360531,-147561469.11256078,7
IN_A04,2021-10-01,2019-10-01,1251433.778,784285.3707111428,863973.3,955989.0546847639,-183749202.68025497,8
IN_A05,2020-01-01,2019-10-01,38838.8,47602.39442143801,96522.72,76473.30656982864,-4054689.5052321255,1
IN_A05,2020-04-01,2019-10-01,43079.4,998.6140216845898,218108.3,82429.83938048039,-17001574.410761863,2
IN_A05,2020-07-01,2019-10-01,44820.213,20698.841128635002,271719.62,104499.48869410768,-35711553.99029848,3
IN_A05,2020-10-01,2019-10-01,47838.0,-606.9206908229506,326543.66,111153.10343092604,-57305755.492743045,4
IN_A05,2021-01-01,2019-10-01,51123.22,-25076.564605441374,267362.66,117316.37494050813,-84625726.06425649,5
IN_A05,2021-04-01,2019-10-01,52933.844,-35032.60694801754,339734.8,136661.39610806553,-114989398.90860647,6
IN_A05,2021-07-01,2019-10-01,52748.566,-39755.572229111225,254583.77,145357.44256379394,-148287774.979489,7
IN_A05,2021-10-01,2019-10-01,51450.8,-38474.67409069678,300575.7,149850.08206571464,-184453931.60296157,8
IN_A06,2020-01-01,2019-10-01,22327783.56,15338055.491041059,1.5550334e+07,14028678.938532328,15500600.006226957,1
IN_A06,2020-04-01,2019-10-01,22553298.8,15286495.428735612,1.5758606e+07,14028678.938532326,1692223.8225440085,2
IN_A06,2020-07-01,2019-10-01,24312975.27,15468701.014569337,1.5694667e+07,14028678.938532334,-16433515.23562184,3
IN_A06,2020-10-01,2019-10-01,21327766.68,15468701.014569337,1.5694667e+07,14028678.938532328,-37624389.754493505,4
IN_A06,2021-01-01,2019-10-01,21186298.17,16526416.94572007,1.599671e+07,14028678.938532328,-65776911.43478006,5
