unique_id,ds,y,Naive,HistoricAverage,WindowAverage,SeasonalNaive,ARIMA,SARIMA,HoltWinters,DynamicOptimizedTheta
IN_B02,2024-10-01,1859,2189.0,2483.9375,3619.0,2189.0,3128.5515,3128.5515,3453.6624,3136.7368
IN_B03,2024-01-01,41575,52566.0,35905.594,54189.0,56921.0,52446.766,52446.766,44508.38,52229.465
IN_B03,2024-04-01,39609,52566.0,35905.594,54189.0,54884.0,53241.543,53241.543,49769.586,52229.465
IN_B03,2024-07-01,46135,52566.0,35905.594,54189.0,52385.0,54036.32,54036.32,46639.97,52229.465
IN_B03,2024-10-01,30811,52566.0,35905.594,54189.0,52566.0,54831.1,54831.1,47050.375,52229.465
IN_B05,2024-01-01,29073,13606.0,20705.656,12804.5,11827.0,15436.299,15436.299,9398.713,13600.358
IN_B05,2024-04-01,31621,13606.0,20705.656,12804.5,12740.0,16741.22,16741.22,13910.326,13600.358
IN_B05,2024-07-01,23510,13606.0,20705.656,12804.5,13045.0,17671.574,17671.574,13628.929,13600.358
IN_B05,2024-10-01,21736,13606.0,20705.656,12804.5,13606.0,18334.875,18334.875,12510.504,13600.358
IN_B06,2024-01-01,627,350.0,523.71875,630.75,786.0,524.8179,524.8179,587.065,535.1082
IN_B06,2024-04-01,1021,350.0,523.71875,630.75,641.0,524.8179,524.8179,638.7521,535.1082
IN_B06,2024-07-01,667,350.0,523.71875,630.75,746.0,524.8179,524.8179,592.6591,535.1082
IN_B06,2024-10-01,602,350.0,523.71875,630.75,350.0,524.8179,524.8179,576.0753,535.1082
IN_C01,2024-01-01,50001,19601.0,24232.875,25609.75,36107.0,24232.875,28803.68,23611.582,24126.17
IN_C01,2024-04-01,39129,19601.0,24232.875,25609.75,21620.0,24232.875,19864.21,25249.414,24126.17
IN_C01,2024-07-01,44756,19601.0,24232.875,25609.75,25111.0,24232.875,28229.156,22747.303,24126.17
IN_C01,2024-10-01,42442,19601.0,24232.875,25609.75,19601.0,24232.875,20793.996,24662.44,24126.17
IN_C02,2024-01-01,62525,77939.0,56479.938,75765.75,80327.0,75138.125,76935.88,76339.71,75587.84
IN_C02,2024-04-01,68014,77939.0,56479.938,75765.75,76841.0,75138.125,79081.84,74143.0,75959.53
IN_C02,2024-07-01,60392,77939.0,56479.938,75765.75,67956.0,75138.125,78757.27,71622.1,76332.586
IN_C02,2024-10-01,53739,77939.0,56479.938,75765.75,77939.0,75138.125,76938.62,76884.59,76705.73
IN_C03,2024-01-01,82419,81138.0,83445.34,88220.5,90927.0,85385.734,85385.734,92000.7,83614.195
IN_C03,2024-04-01,81283,81138.0,83445.34,88220.5,92853.0,85385.734,85385.734,98543.21,83614.195
IN_C03,2024-07-01,78991,81138.0,83445.34,88220.5,87964.0,85385.734,85385.734,97401.664,83614.195
IN_C03,2024-10-01,66601,81138.0,83445.34,88220.5,81138.0,85385.734,85385.734,95270.59,83614.195
IN_C04,2024-01-01,194,205.0,317.8125,211.0,237.0,247.14725,247.14725,229.39835,234.5315
IN_C04,2024-04-01,230,205.0,317.8125,211.0,223.0,243.00961,243.00961,224.9619,234.5315
IN_C04,2024-07-01,191,205.0,317.8125,211.0,179.0,238.872,238.872,175.21632,234.5315
IN_C04,2024-10-01,165,205.0,317.8125,211.0,205.0,234.73438,234.73438,197.57697,234.5315
IN_C05,2024-01-01,10562,18003.0,13175.094,17295.0,19430.0,15275.19,13080.438,17482.63,16267.479
IN_C05,2024-04-01,11044,18003.0,13175.094,17295.0,21064.0,14119.436,11375.425,17372.883,16267.479
IN_C05,2024-07-01,14407,18003.0,13175.094,17295.0,10683.0,13629.749,15121.702,15381.131,16267.479
IN_C05,2024-10-01,10047,18003.0,13175.094,17295.0,18003.0,13422.272,11701.507,17063.297,16267.479
IN_C07,2024-01-01,95918,97450.0,89099.19,105240.25,109466.0,99861.59,99861.59,102913.59,97501.2
IN_C07,2024-04-01,93186,97450.0,89099.19,105240.25,111565.0,99861.59,99861.59,107727.67,97501.2
IN_C07,2024-07-01,91518,97450.0,89099.19,105240.25,102480.0,99861.59,99861.59,104656.24,97501.2
IN_C07,2024-10-01,79488,97450.0,89099.19,105240.25,97450.0,99861.59,99861.59,103963.875,97501.2
IN_C08,2024-01-01,59937,59215.0,54907.906,64248.75,67081.0,63181.152,63181.152,63290.953,59416.176
IN_C08,2024-04-01,58688,59215.0,54907.906,64248.75,68357.0,63764.098,63764.098,66094.03,59574.656
IN_C08,2024-07-01,55981,59215.0,54907.906,64248.75,62342.0,64347.043,64347.043,64208.824,59725.008
IN_C08,2024-10-01,48788,59215.0,54907.906,64248.75,59215.0,64929.99,64929.99,64403.12,59867.992
IN_C09,2024-01-01,106891,112950.0,107652.44,123551.5,130805.0,112950.0,112950.0,117341.24,113013.35
IN_C09,2024-04-01,103594,112950.0,107652.44,123551.5,131287.0,112950.0,112950.0,121763.8,113013.35
IN_C09,2024-07-01,100801,112950.0,107652.44,123551.5,119164.0,112950.0,112950.0,119133.414,113013.35
