,NDCs_2020,NDCs_2021,NDCs_2022,NDCs_2023,NDCs_2024,Total_NDCs,Percentage,Cumulative_NDCs,Cumulative_Percentage
G03E,3,2,2,2,1,10,0.0,280574,100.06
N04C,1,2,2,2,2,9,0.0,280583,100.06
P02B,1,2,2,2,2,9,0.0,280592,100.06
V10X,1,2,1,3,1,8,0.0,280600,100.06
A07X,1,1,1,1,1,5,0.0,280605,100.06
A10X,0,0,0,2,2,4,0.0,280609,100.06
D03B,2,2,0,0,0,4,0.0,280613,100.06
A07F,0,0,0,1,1,2,0.0,280615,100.06
J01B,1,0,0,0,1,2,0.0,280617,100.06
J07C,0,1,0,0,0,1,0.0,280618,100.06
R05X,0,0,0,0,1,1,0.0,280619,100.06
V09G,1,0,0,0,0,1,0.0,280620,100.06
