,Total_NDCs,Percentage,Cumulative_NDCs,Cumulative_Percentage
S01,17526,6.81,17526,6.81
N06,12332,4.79,29858,11.6
J01,11945,4.64,41803,16.24
N05,10526,4.09,52329,20.33
N02,10311,4.0,62640,24.33
C05,7819,3.04,70459,27.37
D07,6647,2.58,77106,29.95
R01,6283,2.44,83389,32.39
C01,6088,2.36,89477,34.75
A01,6083,2.36,95560,37.11
L01,5898,2.29,101458,39.4
N03,5514,2.14,106972,41.54
C09,5391,2.09,112363,43.63
A07,5201,2.02,117564,45.65
S02,5017,1.95,122581,47.6
R03,4778,1.86,127359,49.46
B05,4500,1.75,131859,51.21
C10,4385,1.7,136244,52.91
H02,4331,1.68,140575,54.59
M01,4180,1.62,144755,56.21
A02,4108,1.6,148863,57.81
C03,4092,1.59,152955,59.4
C07,4090,1.59,157045,60.99
A10,3976,1.54,161021,62.53
D10,3861,1.5,164882,64.03
A12,3840,1.49,168722,65.52
R06,3749,1.46,172471,66.98
B01,3694,1.43,176165,68.41
G03,3685,1.43,179850,69.84
R02,3415,1.33,183265,71.17
N01,3319,1.29,186584,72.46
G01,3199,1.24,189783,73.7
D11,3176,1.23,192959,74.93
R05,3151,1.22,196110,76.15
D04,3056,1.19,199166,77.34
A06,3033,1.18,202199,78.52
C08,2914,1.13,205113,79.65
G04,2909,1.13,208022,80.78
M02,2786,1.08,210808,81.86
L02,2602,1.01,213410,82.87
N07,2587,1.0,215997,83.87
L04,2524,0.98,218521,84.85
S03,2329,0.9,220850,85.75
D01,2306,0.9,223156,86.65
G02,2281,0.89,225437,87.54
M03,2232,0.87,227669,88.41
B03,2228,0.87,229897,89.28
H03,2056,0.8,231953,90.08
J05,2050,0.8,234003,90.88
V03,1939,0.75,235942,91.63
D06,1934,0.75,237876,92.38
C02,1623,0.63,239499,93.01
A03,1559,0.61,241058,93.62
N04,1465,0.57,242523,94.19
B02,1397,0.54,243920,94.73
V04,1330,0.52,245250,95.25
A04,1288,0.5,246538,95.75
A11,1122,0.44,247660,96.19
J02,1088,0.42,248748,96.61
P01,911,0.35,249659,96.96
J06,640,0.25,250299,97.21
D02,618,0.24,250917,97.45
H01,596,0.23,251513,97.68
M04,593,0.23,252106,97.91
V06,551,0.21,252657,98.12
D05,546,0.21,253203,98.33
H05,456,0.18,253659,98.51
M05,416,0.16,254075,98.67
A16,409,0.16,254484,98.83
L03,366,0.14,254850,98.97
B06,336,0.13,255186,99.1
J04,322,0.13,255508,99.23
D08,310,0.12,255818,99.35
A09,244,0.09,256062,99.44
A08,183,0.07,256245,99.51
C04,170,0.07,256415,99.58
D09,164,0.06,256579,99.64
A05,162,0.06,256741,99.7
P03,136,0.05,256877,99.75
V07,129,0.05,257006,99.8
H04,120,0.05,257126,99.85
P02,93,0.04,257219,99.89
D03,72,0.03,257291,99.92
J07,64,0.02,257355,99.94
R07,52,0.02,257407,99.96
M09,39,0.02,257446,99.98
A14,19,0.01,257465,99.99
V01,16,0.01,257481,100.0
V10,8,0.0,257489,100.0
V09,1,0.0,257490,100.0
