,Total_NDCs,Percentage,Cumulative_NDCs,Cumulative_Percentage
S02C,81,0.03,279719,99.76
N06C,77,0.03,279796,99.79
D03A,68,0.02,279864,99.81
G02B,64,0.02,279928,99.83
R07A,52,0.02,279980,99.85
C07C,48,0.02,280028,99.87
A11A,47,0.02,280075,99.89
M03C,44,0.02,280119,99.91
D05B,41,0.01,280160,99.92
M09A,39,0.01,280199,99.93
G03G,36,0.01,280235,99.94
J07B,36,0.01,280271,99.95
D02B,36,0.01,280307,99.96
C03X,31,0.01,280338,99.97
A03C,31,0.01,280369,99.98
P01C,31,0.01,280400,99.99
J07A,28,0.01,280428,100.0
C09X,27,0.01,280455,100.01
A11E,26,0.01,280481,100.02
A14A,19,0.01,280500,100.03
M01C,18,0.01,280518,100.04
H05A,18,0.01,280536,100.05
V01A,16,0.01,280552,100.06
B05D,12,0.0,280564,100.06
G03E,10,0.0,280574,100.06
N04C,9,0.0,280583,100.06
P02B,9,0.0,280592,100.06
V10X,8,0.0,280600,100.06
A07X,5,0.0,280605,100.06
A10X,4,0.0,280609,100.06
D03B,4,0.0,280613,100.06
A07F,2,0.0,280615,100.06
J01B,2,0.0,280617,100.06
J07C,1,0.0,280618,100.06
R05X,1,0.0,280619,100.06
V09G,1,0.0,280620,100.06
