,NDCs_2020,NDCs_2021,NDCs_2022,NDCs_2023,NDCs_2024,Total_NDCs,Percentage,Cumulative_NDCs,Cumulative_Percentage
S01,3093,3359,3590,3742,3742,17526,6.81,17526,6.81
N06,2176,2310,2497,2692,2657,12332,4.79,29858,11.6
J01,2260,2346,2444,2506,2389,11945,4.64,41803,16.24
N05,1920,2021,2096,2239,2250,10526,4.09,52329,20.33
N02,1999,2058,2092,2138,2024,10311,4.0,62640,24.33
C05,1409,1511,1590,1640,1669,7819,3.04,70459,27.37
D07,1241,1340,1390,1360,1316,6647,2.58,77106,29.95
R01,1095,1189,1306,1356,1337,6283,2.44,83389,32.39
C01,1072,1151,1231,1317,1317,6088,2.36,89477,34.75
A01,1104,1204,1259,1268,1248,6083,2.36,95560,37.11
L01,1007,1108,1193,1284,1306,5898,2.29,101458,39.4
N03,929,999,1100,1250,1236,5514,2.14,106972,41.54
C09,1166,1072,1035,1086,1032,5391,2.09,112363,43.63
A07,935,1024,1069,1088,1085,5201,2.02,117564,45.65
S02,901,985,1033,1040,1058,5017,1.95,122581,47.6
R03,853,902,993,1027,1003,4778,1.86,127359,49.46
B05,785,846,920,960,989,4500,1.75,131859,51.21
C10,795,840,891,922,937,4385,1.7,136244,52.91
H02,762,832,896,909,932,4331,1.68,140575,54.59
M01,779,804,824,887,886,4180,1.62,144755,56.21
A02,771,791,825,861,860,4108,1.6,148863,57.81
C03,801,790,810,855,836,4092,1.59,152955,59.4
C07,690,770,865,898,867,4090,1.59,157045,60.99
A10,775,779,775,817,830,3976,1.54,161021,62.53
D10,674,729,790,829,839,3861,1.5,164882,64.03
A12,693,741,780,804,822,3840,1.49,168722,65.52
R06,691,721,756,801,780,3749,1.46,172471,66.98
B01,697,752,743,758,744,3694,1.43,176165,68.41
G03,701,749,736,749,750,3685,1.43,179850,69.84
R02,629,667,692,708,719,3415,1.33,183265,71.17
N01,551,612,679,731,746,3319,1.29,186584,72.46
G01,627,659,649,630,634,3199,1.24,189783,73.7
D11,527,554,647,713,735,3176,1.23,192959,74.93
R05,604,606,652,662,627,3151,1.22,196110,76.15
D04,524,577,633,660,662,3056,1.19,199166,77.34
A06,560,579,612,641,641,3033,1.18,202199,78.52
C08,580,558,572,619,585,2914,1.13,205113,79.65
G04,544,563,580,613,609,2909,1.13,208022,80.78
M02,524,541,541,589,591,2786,1.08,210808,81.86
L02,484,540,535,534,509,2602,1.01,213410,82.87
N07,460,486,508,556,577,2587,1.0,215997,83.87
L04,370,436,504,592,622,2524,0.98,218521,84.85
S03,416,452,475,490,496,2329,0.9,220850,85.75
D01,422,461,479,471,473,2306,0.9,223156,86.65
G02,436,446,452,474,473,2281,0.89,225437,87.54
M03,365,419,465,494,489,2232,0.87,227669,88.41
B03,433,444,453,450,448,2228,0.87,229897,89.28
H03,336,396,398,437,489,2056,0.8,231953,90.08
J05,388,396,422,429,415,2050,0.8,234003,90.88
V03,343,390,396,411,399,1939,0.75,235942,91.63
D06,372,386,397,397,382,1934,0.75,237876,92.38
C02,280,294,313,354,382,1623,0.63,239499,93.01
A03,252,270,331,347,359,1559,0.61,241058,93.62
N04,282,268,289,317,309,1465,0.57,242523,94.19
B02,239,265,303,307,283,1397,0.54,243920,94.73
V04,238,244,271,287,290,1330,0.52,245250,95.25
A04,242,257,262,267,260,1288,0.5,246538,95.75
A11,224,219,244,222,213,1122,0.44,247660,96.19
J02,190,216,223,225,234,1088,0.42,248748,96.61
P01,159,178,194,195,185,911,0.35,249659,96.96
J06,107,123,129,138,143,640,0.25,250299,97.21
D02,123,121,132,116,126,618,0.24,250917,97.45
H01,99,107,118,139,133,596,0.23,251513,97.68
M04,98,117,117,121,140,593,0.23,252106,97.91
V06,99,106,118,117,111,551,0.21,252657,98.12
D05,93,97,115,120,121,546,0.21,253203,98.33
H05,87,101,97,84,87,456,0.18,253659,98.51
M05,86,83,80,82,85,416,0.16,254075,98.67
A16,66,73,81,95,94,409,0.16,254484,98.83
L03,68,69,72,74,83,366,0.14,254850,98.97
B06,63,61,66,70,76,336,0.13,255186,99.1
J04,62,54,62,71,73,322,0.13,255508,99.23
D08,53,62,64,63,68,310,0.12,255818,99.35
A09,47,54,54,45,44,244,0.09,256062,99.44
A08,36,30,40,40,37,183,0.07,256245,99.51
C04,39,36,32,31,32,170,0.07,256415,99.58
D09,23,30,37,36,38,164,0.06,256579,99.64
A05,25,30,33,37,37,162,0.06,256741,99.7
P03,25,28,27,26,30,136,0.05,256877,99.75
V07,27,26,26,25,25,129,0.05,257006,99.8
H04,19,23,25,28,25,120,0.05,257126,99.85
P02,16,21,20,18,18,93,0.04,257219,99.89
D03,20,19,13,11,9,72,0.03,257291,99.92
J07,10,20,13,13,8,64,0.02,257355,99.94
R07,10,11,9,11,11,52,0.02,257407,99.96
M09,6,8,8,8,9,39,0.02,257446,99.98
A14,4,5,4,5,1,19,0.01,257465,99.99
V01,1,1,2,6,6,16,0.01,257481,100.0
V10,1,2,1,3,1,8,0.0,257489,100.0
V09,1,0,0,0,0,1,0.0,257490,100.0
