Model,MAE_Mean,MAE_Median,MAE_Std,MAE_Min,MAE_Max,SMAPE_Mean,SMAPE_Median,SMAPE_Std,SMAPE_Min,SMAPE_Max
LightGBM,1430194.9868629011,568900.3187687143,2236844.053155466,45022.6065321591,13253117.719267216,24.241394891135673,17.318106819360416,20.248000313805544,1.3018349776620095,98.13210358996601
XGBoost,1456416.2524809944,605319.45225,2247828.4502717657,12043.815062500002,13338222.859,20.736981742177907,15.178452089923097,16.935707733709275,1.6798186383992695,94.90943728082875
RandomForest,1332124.161164362,531655.361308336,2192059.8271944574,299.68255729850057,13030291.509846449,17.64227523720277,14.131803423814905,13.423427899774264,1.7462388824874517,66.67972731157953
Ridge,1484819.0175424386,673902.127416443,2347368.4173745774,258050.57314575688,17028241.54200534,30.56167106742314,19.799436380411272,25.24576886856076,1.8802785389502301,99.2111300324915
