Model,MAE_Mean,MAE_Median,MAE_Std,MAE_Min,MAE_Max,SMAPE_Mean,SMAPE_Median,SMAPE_Std,SMAPE_Min,SMAPE_Max
LightGBM,1079290.2464447275,337348.83945721993,2117801.075258145,13136.410507023382,12410487.030274227,22.79437375405396,13.967752577583235,22.511467851135627,2.214866298905234,96.58956346524171
XGBoost,1072120.8288862568,355904.56231249997,2144622.7963321162,8100.323588867187,12580026.02125,23.90708675410213,15.743087461317508,22.433989647026323,1.5652425472148437,96.65641279343536
RandomForest,917682.8928965084,366606.77201685775,1930405.5355546616,3946.872880688368,13870731.850469869,21.11736780853304,12.268217684872798,21.114370467174556,1.325894740380019,95.1564930491962
Ridge,1126775.289399414,520388.9864928457,2064718.20324162,76073.86604299652,15797513.05554035,31.424588380306595,22.66645953651779,26.806901131678405,1.8429482941290043,98.83457037980222
