unique_id,best_model,consistency_ratio,confidence,n_windows,win_count,avg_mae,std_mae
IN_A01,Naive,0.3333333333333333,Low,3,1,22675.75,10535.007873306266
IN_A02,SARIMAX,0.6666666666666666,Medium,3,2,17833.691036005792,7325.809661568223
IN_A03,SARIMAX,0.6666666666666666,Medium,3,2,2010.7389886227902,767.8795654650258
IN_A04,SARIMAX,1.0,High,3,3,10921.459082216823,7559.003492039063
IN_A05,SARIMAX,1.0,High,3,3,61.00117516884199,42.49158170672507
IN_A06,WindowAverage,0.3333333333333333,Low,3,1,19765.166666666668,10641.236075943356
IN_A07,SARIMAX,0.6666666666666666,Medium,3,2,10834.629453590796,1069.8474631648287
IN_A09,ARIMAX,0.6666666666666666,Medium,3,2,195.6723667563606,96.23618686604902
IN_A10,SARIMAX,1.0,High,3,3,9907.68850419222,4176.070856415037
IN_A11,SARIMAX,0.6666666666666666,Medium,3,2,6031.6662595263115,2815.892800855547
IN_A12,HistoricAverage,0.6666666666666666,Medium,3,2,11798.215277777776,4655.109942195715
IN_A16,SARIMAX,0.3333333333333333,Low,3,1,75.4539757565048,47.695033965095114
IN_B01,Naive,0.6666666666666666,Medium,3,2,12790.25,3840.4140584870534
IN_B02,HistoricAverage,0.3333333333333333,Low,3,1,777.4847222222221,233.2034154807732
IN_B03,WindowAverage,0.3333333333333333,Low,3,1,8157.0,5412.032692369961
IN_B05,HistoricAverage,0.6666666666666666,Medium,3,2,11932.708333333334,5185.897994099801
IN_B06,WindowAverage,0.3333333333333333,Low,3,1,446.625,199.62977452023534
IN_C01,HistoricAverage,0.3333333333333333,Low,3,1,8304.274305555555,3913.51878905917
IN_C02,SARIMAX,1.0,High,3,3,5739.395961334357,361.4690417843982
IN_C03,HistoricAverage,0.6666666666666666,Medium,3,2,8751.165277777778,3995.422280778578
IN_C04,Naive,0.3333333333333333,Low,3,1,41.541666666666664,7.331794346088365
IN_C05,Naive,0.6666666666666666,Medium,3,2,4995.625,2646.848240714794
IN_C07,SARIMAX,1.0,High,3,3,5222.048431030776,1641.1570907006205
IN_C08,SARIMAX,1.0,High,3,3,2168.2185504154554,1343.7891464233626
IN_C09,SARIMAX,0.6666666666666666,Medium,3,2,9610.338619156299,3659.197021914786
IN_C10,SARIMAX,1.0,High,3,3,7358.665406561343,4799.187495538831
IN_D01,HistoricAverage,0.3333333333333333,Low,3,1,6410.680555555556,1252.7318865210764
IN_D02,HistoricAverage,0.3333333333333333,Low,3,1,1156.1034722222223,32.25136196610906
IN_D03,Naive,0.6666666666666666,Medium,3,2,89.91666666666667,82.2177304985569
IN_D04,HistoricAverage,0.3333333333333333,Low,3,1,3360.3937499999997,805.2538746365569
IN_D05,SARIMAX,0.3333333333333333,Low,3,1,1420.4966664750457,620.9559647199809
IN_D06,SARIMAX,0.6666666666666666,Medium,3,2,6119.240997496058,1857.8843237893118
IN_D07,SARIMAX,0.6666666666666666,Medium,3,2,32718.91114949628,36780.96278568174
IN_D08,Naive,0.6666666666666666,Medium,3,2,2522.125,2126.6410171030275
IN_D10,SARIMAX,0.6666666666666666,Medium,3,2,13561.093356377567,7044.586678110813
IN_D11,HistoricAverage,0.6666666666666666,Medium,3,2,4502.798611111111,1265.9897640225827
IN_G01,Naive,0.6666666666666666,Medium,3,2,7351.708333333333,1296.335172788401
IN_G02,WindowAverage,0.6666666666666666,Medium,3,2,10786.958333333334,12367.021858387463
IN_G03,SARIMAX,1.0,High,3,3,6428.725778618246,1285.4377470019645
IN_G04,SARIMAX,0.6666666666666666,Medium,3,2,2461.3738344463472,1586.783885375521
IN_H01,WindowAverage,0.6666666666666666,Medium,3,2,186.33333333333334,155.0180097063994
IN_H02,HistoricAverage,0.6666666666666666,Medium,3,2,13004.250347222222,3393.212657789582
IN_H03,SARIMAX,0.6666666666666666,Medium,3,2,3467.167099611143,3014.65421560261
IN_H04,ARIMAX,0.3333333333333333,Low,3,1,214.88662209034229,127.10973405812135
IN_H05,Naive,0.6666666666666666,Medium,3,2,2005.0416666666667,1975.9618319841943
IN_J01,WindowAverage,0.3333333333333333,Low,3,1,44205.0,10417.988580455441
IN_J02,WindowAverage,0.3333333333333333,Low,3,1,6567.4375,2009.0888122402032
IN_J04,HistoricAverage,0.3333333333333333,Low,3,1,101.43229166666667,20.229194156563892
IN_J05,HistoricAverage,1.0,High,3,3,6436.400000000001,973.1995533419653
IN_J06,SARIMAX,0.6666666666666666,Medium,3,2,768.7085573198432,460.23595170920925
IN_L01,SARIMAX,1.0,High,3,3,2713.8634117734096,755.4290704692166
IN_L02,SeasonalNaive,0.6666666666666666,Medium,3,2,5934.875,1819.331303150968
IN_L03,WindowAverage,0.6666666666666666,Medium,3,2,221.41666666666666,87.33773645070802
IN_L04,SARIMAX,1.0,High,3,3,1075.586382814151,391.4609400169767
IN_M01,HistoricAverage,0.6666666666666666,Medium,3,2,7740.753472222223,1509.1369252492482
IN_M02,ARIMAX,1.0,High,3,3,18748.859796686247,6059.3240865158
IN_M03,SARIMAX,0.6666666666666666,Medium,3,2,2013.0506571604299,515.6778786421937
IN_M04,SARIMAX,0.3333333333333333,Low,3,1,481.37641831008506,280.38979764073184
IN_M05,WindowAverage,0.3333333333333333,Low,3,1,339.4583333333333,264.3950740999789
IN_M09,Naive,1.0,High,3,3,32.166666666666664,20.77872008409886
IN_N01,WindowAverage,0.3333333333333333,Low,3,1,1116.8125,399.00735719250844
IN_N02,SARIMAX,0.6666666666666666,Medium,3,2,39729.04429443911,5040.371684062085
IN_N03,SARIMAX,0.6666666666666666,Medium,3,2,5623.066843862417,1722.720313330711
IN_N04,Naive,0.3333333333333333,Low,3,1,1461.125,781.0064720442463
IN_N05,SARIMAX,1.0,High,3,3,15191.719488466008,9676.683307212059
IN_N06,SARIMAX,0.6666666666666666,Medium,3,2,21160.764340270354,5032.300687232656
IN_N07,HistoricAverage,1.0,High,3,3,22990.28125,11212.21949773682
IN_P01,Naive,0.6666666666666666,Medium,3,2,2587.4583333333335,2626.809487445432
IN_P02,SARIMAX,0.6666666666666666,Medium,3,2,111.41304321461219,23.095150717022356
IN_P03,SeasonalNaive,0.6666666666666666,Medium,3,2,713.1666666666666,282.91242939880414
IN_R01,HistoricAverage,0.6666666666666666,Medium,3,2,18157.668402777777,3067.552774902212
IN_R02,HistoricAverage,0.6666666666666666,Medium,3,2,12699.333333333334,4927.002937548808
IN_R03,SARIMAX,0.6666666666666666,Medium,3,2,21704.950444690367,11608.239670319006
IN_R05,HistoricAverage,0.6666666666666666,Medium,3,2,14625.708333333334,8153.510973360392
IN_R06,ARIMAX,0.3333333333333333,Low,3,1,16041.439113440727,4415.24405986589
IN_R07,SARIMAX,0.6666666666666666,Medium,3,2,81.38356299829867,49.385426018019196
IN_S01,SARIMAX,0.3333333333333333,Low,3,1,12012.014731235846,3595.4167592575245
IN_S02,SARIMAX,0.6666666666666666,Medium,3,2,4540.356989187655,663.5326188209904
IN_S03,HistoricAverage,0.3333333333333333,Low,3,1,3699.5,1289.117935550434
IN_V03,HistoricAverage,0.6666666666666666,Medium,3,2,21598.76875,4469.663401874316
IN_V04,HistoricAverage,0.6666666666666666,Medium,3,2,8220.479166666666,2537.763542605395
IN_V06,HistoricAverage,0.6666666666666666,Medium,3,2,152.11909722222222,72.5713458242073
IN_V07,Naive,0.6666666666666666,Medium,3,2,94.29166666666667,62.937758605890416
