unique_id,ds,best_forecast,best_forecast-lo-95,best_forecast-hi-95,best_model
IN_A05,2025-07-01,55428.16078675286,44952.242502051624,64707.56552638084,HoltWinters
IN_A05,2025-07-01,55428.16078675286,44952.242502051624,64707.56552638084,DynamicOptimizedTheta
IN_A05,2025-07-01,55428.16078675286,44952.242502051624,64707.56552638084,Naive
IN_A05,2025-07-01,53550.5,39980.926437713766,67120.07356228623,WindowAverage
IN_A05,2025-07-01,53550.5,39980.926437713766,67120.07356228623,Naive
IN_A05,2025-07-01,53550.5,39980.926437713766,67120.07356228623,HoltWinters
IN_A05,2025-07-01,53550.5,39980.926437713766,67120.07356228623,DynamicOptimizedTheta
IN_A05,2025-07-01,53550.5,39980.926437713766,67120.07356228623,Naive
IN_A05,2025-10-01,53550.5,39217.573558464275,67883.42644153572,WindowAverage
IN_A05,2025-10-01,53550.5,39217.573558464275,67883.42644153572,Naive
IN_A05,2025-10-01,53550.5,39217.573558464275,67883.42644153572,HoltWinters
IN_A05,2025-10-01,53550.5,39217.573558464275,67883.42644153572,DynamicOptimizedTheta
IN_A05,2025-10-01,53550.5,39217.573558464275,67883.42644153572,Naive
IN_A05,2025-10-01,53550.5,37881.706102051234,69219.29389794877,WindowAverage
IN_A05,2025-10-01,53550.5,37881.706102051234,69219.29389794877,Naive
IN_A05,2025-10-01,53550.5,37881.706102051234,69219.29389794877,HoltWinters
IN_A05,2025-10-01,53550.5,37881.706102051234,69219.29389794877,DynamicOptimizedTheta
IN_A05,2025-10-01,53550.5,37881.706102051234,69219.29389794877,Naive
IN_A05,2025-10-01,55261.69141012267,39738.73215422454,70784.65066602081,WindowAverage
IN_A05,2025-10-01,55261.69141012267,39738.73215422454,70784.65066602081,Naive
IN_A05,2025-10-01,55261.69141012267,39738.73215422454,70784.65066602081,HoltWinters
IN_A05,2025-10-01,55261.69141012267,39738.73215422454,70784.65066602081,DynamicOptimizedTheta
IN_A05,2025-10-01,55261.69141012267,39738.73215422454,70784.65066602081,Naive
IN_A05,2025-10-01,53604.944902471805,43096.82799302885,64045.68228417693,WindowAverage
IN_A05,2025-10-01,53604.944902471805,43096.82799302885,64045.68228417693,Naive
IN_A05,2025-10-01,53604.944902471805,43096.82799302885,64045.68228417693,HoltWinters
IN_A05,2025-10-01,53604.944902471805,43096.82799302885,64045.68228417693,DynamicOptimizedTheta
IN_A05,2025-10-01,53604.944902471805,43096.82799302885,64045.68228417693,Naive
IN_A05,2025-10-01,53550.5,37881.706102051234,69219.29389794877,WindowAverage
IN_A05,2025-10-01,53550.5,37881.706102051234,69219.29389794877,Naive
IN_A05,2025-10-01,53550.5,37881.706102051234,69219.29389794877,HoltWinters
IN_A05,2025-10-01,53550.5,37881.706102051234,69219.29389794877,DynamicOptimizedTheta
IN_A05,2025-10-01,53550.5,37881.706102051234,69219.29389794877,Naive
IN_A06,2025-01-01,19033292.8,13756414.69490039,24310170.90509961,Naive
IN_A06,2025-01-01,19033292.8,13756414.69490039,24310170.90509961,WindowAverage
IN_A06,2025-01-01,19033292.8,13756414.69490039,24310170.90509961,WindowAverage
IN_A06,2025-01-01,19033292.8,13756414.69490039,24310170.90509961,ARIMA
IN_A06,2025-01-01,19033292.8,13756414.69490039,24310170.90509961,SeasonalNaive
IN_A06,2025-01-01,23002720.64,15828140.570959192,30177300.70904081,Naive
IN_A06,2025-01-01,23002720.64,15828140.570959192,30177300.70904081,WindowAverage
IN_A06,2025-01-01,23002720.64,15828140.570959192,30177300.70904081,WindowAverage
IN_A06,2025-01-01,23002720.64,15828140.570959192,30177300.70904081,ARIMA
IN_A06,2025-01-01,23002720.64,15828140.570959192,30177300.70904081,SeasonalNaive
IN_A06,2025-01-01,23002720.64,15828140.570959192,30177300.70904081,Naive
IN_A06,2025-01-01,23002720.64,15828140.570959192,30177300.70904081,WindowAverage
IN_A06,2025-01-01,23002720.64,15828140.570959192,30177300.70904081,WindowAverage
IN_A06,2025-01-01,23002720.64,15828140.570959192,30177300.70904081,ARIMA
IN_A06,2025-01-01,23002720.64,15828140.570959192,30177300.70904081,SeasonalNaive
IN_A06,2025-01-01,20669563.531224236,15818848.526506491,25520278.53594198,Naive
IN_A06,2025-01-01,20669563.531224236,15818848.526506491,25520278.53594198,WindowAverage
IN_A06,2025-01-01,20669563.531224236,15818848.526506491,25520278.53594198,WindowAverage
IN_A06,2025-01-01,20669563.531224236,15818848.526506491,25520278.53594198,ARIMA
IN_A06,2025-01-01,20669563.531224236,15818848.526506491,25520278.53594198,SeasonalNaive
IN_A06,2025-01-01,23002720.64,15828140.570959192,30177300.70904081,Naive
IN_A06,2025-01-01,23002720.64,15828140.570959192,30177300.70904081,WindowAverage
IN_A06,2025-01-01,23002720.64,15828140.570959192,30177300.70904081,WindowAverage
IN_A06,2025-01-01,23002720.64,15828140.570959192,30177300.70904081,ARIMA
IN_A06,2025-01-01,23002720.64,15828140.570959192,30177300.70904081,SeasonalNaive
IN_A06,2025-04-01,19033292.8,11570660.216778493,26495925.383221507,Naive
IN_A06,2025-04-01,19033292.8,11570660.216778493,26495925.383221507,WindowAverage
IN_A06,2025-04-01,19033292.8,11570660.216778493,26495925.383221507,WindowAverage
IN_A06,2025-04-01,19033292.8,11570660.216778493,26495925.383221507,ARIMA
IN_A06,2025-04-01,19033292.8,11570660.216778493,26495925.383221507,SeasonalNaive
IN_A06,2025-04-01,22869899.28,15695319.210959192,30044479.34904081,Naive
IN_A06,2025-04-01,22869899.28,15695319.210959192,30044479.34904081,WindowAverage
IN_A06,2025-04-01,22869899.28,15695319.210959192,30044479.34904081,WindowAverage
IN_A06,2025-04-01,22869899.28,15695319.210959192,30044479.34904081,ARIMA
IN_A06,2025-04-01,22869899.28,15695319.210959192,30044479.34904081,SeasonalNaive
IN_A06,2025-04-01,22869899.28,15695319.210959192,30044479.34904081,Naive
IN_A06,2025-04-01,22869899.28,15695319.210959192,30044479.34904081,WindowAverage
IN_A06,2025-04-01,22869899.28,15695319.210959192,30044479.34904081,WindowAverage
IN_A06,2025-04-01,22869899.28,15695319.210959192,30044479.34904081,ARIMA
IN_A06,2025-04-01,22869899.28,15695319.210959192,30044479.34904081,SeasonalNaive
IN_A06,2025-04-01,19957039.52576098,14386716.434850786,25527362.61667117,Naive
IN_A06,2025-04-01,19957039.52576098,14386716.434850786,25527362.61667117,WindowAverage
