NDC,record_id,ATC4 Class
00168025846,AK_2024_4_FFSU_00168025846,S01CB
00378750232,AK_2024_4_FFSU_00378750232,R03AK
00168032346,AK_2024_4_FFSU_00168032346,J01XD
00406048410,AK_2024_4_FFSU_00406048410,N02BE
00173088710,AK_2024_4_FFSU_00173088710,R03BA
00115148801,AK_2024_4_FFSU_00115148801,N06BA
00338170840,AK_2024_4_FFSU_00338170840,D11AX
00168025846,AK_2024_4_FFSU_00168025846,R01AD
00185084201,AK_2024_4_FFSU_00185084201,N06BA
00065414727,AK_2024_4_FFSU_00065414727,S01EC
00406012505,AK_2024_4_FFSU_00406012505,N02BE
00003049420,AK_2024_4_FFSU_00003049420,D07AB
00168020160,AK_2024_4_FFSU_00168020160,D10AF
00378064110,AK_2024_4_FFSU_00378064110,H02AB
00093342205,AK_2024_4_FFSU_00093342205,M03BX
00168008031,AK_2024_4_FFSU_00168008031,H02AB
00054418125,AK_2024_4_FFSU_00054418125,D07XB
00245531915,AK_2024_4_FFSU_00245531915,B05XA
00093914801,AK_2024_4_FFSU_00093914801,N06AX
00378876793,AK_2024_4_FFSU_00378876793,N02AE
00006008061,AK_2024_4_FFSU_00006008061,A10BD
00115164301,AK_2024_4_FFSU_00115164301,J01XE
00054252625,AK_2024_4_FFSU_00054252625,N05AN
00378868835,AK_2024_4_FFSU_00378868835,G01AA
00121088516,AK_2024_4_FFSU_00121088516,A07EA
00121075908,AK_2024_4_FFSU_00121075908,D07AA
00406051201,AK_2024_4_FFSU_00406051201,N02BE
00378750232,AK_2024_4_FFSU_00378750232,A07EA
00245007111,AK_2024_4_FFSU_00245007111,A12BA
00003049420,AK_2024_4_FFSU_00003049420,D07XB
00088222033,AK_2024_4_FFSU_00088222033,A10AE
00143980350,AK_2024_4_FFSU_00143980350,J01AA
00378001805,AK_2024_4_FFSU_00378001805,C07AB
00168035730,AK_2024_4_FFSU_00168035730,C05AD
00430042014,AK_2024_4_FFSU_00430042014,G03DC
00186037220,AK_2024_4_FFSU_00186037220,R03AK
00143985316,AK_2024_4_FFSU_00143985316,J01CR
00378868835,AK_2024_4_FFSU_00378868835,D10AE
00406117003,AK_2024_4_FFSU_00406117003,N07BB
00006542302,AK_2024_4_FFSU_00006542302,V03AB
00054817525,AK_2024_4_FFSU_00054817525,R01AD
00009028002,AK_2024_4_FFSU_00009028002,D07AA
00093342201,AK_2024_4_FFSU_00093342201,M03BX
00037682210,AK_2024_4_FFSU_00037682210,D07XA
00186037020,AK_2024_4_FFSU_00186037020,R03CC
00310461612,AK_2024_4_FFSU_00310461612,R03CC
00409156010,AK_2024_4_FFSU_00409156010,N01BB
00093598527,AK_2024_4_FFSU_00093598527,R03AA
00378750232,AK_2024_4_FFSU_00378750232,R03BA
00121088508,AK_2024_4_FFSU_00121088508,S01BA
00406012305,AK_2024_4_FFSU_00406012305,N02BE
00054817525,AK_2024_4_FFSU_00054817525,H02AB
00046110711,AK_2024_4_FFSU_00046110711,L02AB
00168020160,AK_2024_4_FFSU_00168020160,J01FF
00338004948,AK_2024_4_FFSU_00338004948,B05XA
00406052201,AK_2024_4_FFSU_00406052201,N02AA
00378087299,AK_2024_4_FFSU_00378087299,S01EA
00169210011,AK_2024_4_FFSU_00169210011,A10AB
00173071620,AK_2024_4_FFSU_00173071620,R03AK
00054418125,AK_2024_4_FFSU_00054418125,R01AD
00078079975,AK_2024_4_FFSU_00078079975,S01CB
00003373413,AK_2024_4_FFSU_00003373413,L01FF
00093406901,AK_2024_4_FFSU_00093406901,C02CA
00088210224,AK_2024_4_FFSU_00088210224,J04AB
00093834401,AK_2024_4_FFSU_00093834401,A10BB
00116200116,AK_2024_4_FFSU_00116200116,S02AA
00093413764,AK_2024_4_FFSU_00093413764,J01DD
00228282011,AK_2024_4_FFSU_00228282011,C03AA
00186037220,AK_2024_4_FFSU_00186037220,A07EA
00054418125,AK_2024_4_FFSU_00054418125,H02AB
00409188622,AK_2024_4_FFSU_00409188622,N03AX
00078087601,AK_2024_4_FFSU_00078087601,D07AB
00338170940,AK_2024_4_FFSU_00338170940,A06AD
00115169449,AK_2024_4_FFSU_00115169449,R01AA
00168020437,AK_2024_4_FFSU_00168020437,C05AD
00378034505,AK_2024_4_FFSU_00378034505,N05BA
00009028051,AK_2024_4_FFSU_00009028051,D07AA
00009347501,AK_2024_4_FFSU_00009347501,H02AB
00074706819,AK_2024_4_FFSU_00074706819,H03AA
00378395205,AK_2024_4_FFSU_00378395205,C10AA
00338055318,AK_2024_4_FFSU_00338055318,A12CA
00093206301,AK_2024_4_FFSU_00093206301,N05AH
00168025846,AK_2024_4_FFSU_00168025846,A01AB
00093553901,AK_2024_4_FFSU_00093553901,N05CF
00378334999,AK_2024_4_FFSU_00378334999,G03CA
00078069620,AK_2024_4_FFSU_00078069620,C09DX
00093117701,AK_2024_4_FFSU_00093117701,S01AA
00168002031,AK_2024_4_FFSU_00168002031,D07XA
00168014630,AK_2024_4_FFSU_00168014630,D07XA
00228306111,AK_2024_4_FFSU_00228306111,N06BA
00003049420,AK_2024_4_FFSU_00003049420,H02AB
00409341418,AK_2024_4_FFSU_00409341418,A03FA
00186037220,AK_2024_4_FFSU_00186037220,R03BA
00173069700,AK_2024_4_FFSU_00173069700,D07AC
00037682210,AK_2024_4_FFSU_00037682210,A07EA
00093227534,AK_2024_4_FFSU_00093227534,J01CR
00143959401,AK_2024_4_FFSU_00143959401,D04AB
00228285111,AK_2024_4_FFSU_00228285111,C02AC
00078087601,AK_2024_4_FFSU_00078087601,D07XB
00143211250,AK_2024_4_FFSU_00143211250,J01AA
00003029328,AK_2024_4_FFSU_00003029328,R03BA
00078069667,AK_2024_4_FFSU_00078069667,C09DX
00338004903,AK_2024_4_FFSU_00338004903,B05CB
00456045901,AK_2024_4_FFSU_00456045901,H03AA
00406123601,AK_2024_4_FFSU_00406123601,A07DA
00406048401,AK_2024_4_FFSU_00406048401,N02AJ
00074003828,AK_2024_4_FFSU_00074003828,H01CC
00378633380,AK_2024_4_FFSU_00378633380,N07BB
00172392760,AK_2024_4_FFSU_00172392760,N05BA
00054817525,AK_2024_4_FFSU_00054817525,S03BA
00093681673,AK_2024_4_FFSU_00093681673,A07EA
00173071620,AK_2024_4_FFSU_00173071620,R03BA
00378967193,AK_2024_4_FFSU_00378967193,R01AX
00430042014,AK_2024_4_FFSU_00430042014,G03CA
00023650110,AK_2024_4_FFSU_00023650110,N02CD
00006057761,AK_2024_4_FFSU_00006057761,A10BD
00069532130,AK_2024_4_FFSU_00069532130,J05AE
00338011704,AK_2024_4_FFSU_00338011704,B05CB
00093412773,AK_2024_4_FFSU_00093412773,J01CE
00121088508,AK_2024_4_FFSU_00121088508,S01CB
00121086802,AK_2024_4_FFSU_00121086802,D01AA
00228212810,AK_2024_4_FFSU_00228212810,S01EA
00228212910,AK_2024_4_FFSU_00228212910,S01EA
00338170840,AK_2024_4_FFSU_00338170840,A12CC
00378750232,AK_2024_4_FFSU_00378750232,R03CC
00071036924,AK_2024_4_FFSU_00071036924,N03AB
00173068224,AK_2024_4_FFSU_00173068224,R03AC
00054418125,AK_2024_4_FFSU_00054418125,S03BA
00264780000,AK_2024_4_FFSU_00264780000,B05XA
00093117701,AK_2024_4_FFSU_00093117701,A01AB
00168002031,AK_2024_4_FFSU_00168002031,A07EA
00093681673,AK_2024_4_FFSU_00093681673,R03BA
00078079975,AK_2024_4_FFSU_00078079975,S02CA
00002821501,AK_2024_4_FFSU_00002821501,A10AD
00046110511,AK_2024_4_FFSU_00046110511,G03DA
00054817625,AK_2024_4_FFSU_00054817625,D10AA
00264780009,AK_2024_4_FFSU_00264780009,B05CB
00172572880,AK_2024_4_FFSU_00172572880,A02BA
00143959401,AK_2024_4_FFSU_00143959401,N01BB
00338011703,AK_2024_4_FFSU_00338011703,B05BB
00093767902,AK_2024_4_FFSU_00093767902,G02BB
00228284803,AK_2024_4_FFSU_00228284803,N06AB
00078079975,AK_2024_4_FFSU_00078079975,S01AE
00406012401,AK_2024_4_FFSU_00406012401,N02AJ
00338954304,AK_2024_4_FFSU_00338954304,A12CA
00002880359,AK_2024_4_FFSU_00002880359,A10AD
00143988775,AK_2024_4_FFSU_00143988775,J01CA
00245531615,AK_2024_4_FFSU_00245531615,A12BA
00406052301,AK_2024_4_FFSU_00406052301,N02AA
00143924920,AK_2024_4_FFSU_00143924920,J01CR
00378876793,AK_2024_4_FFSU_00378876793,V03AB
00406055201,AK_2024_4_FFSU_00406055201,N02AA
00409426411,AK_2024_4_FFSU_00409426411,N02AA
00054372763,AK_2024_4_FFSU_00054372763,C07AA
00121203830,AK_2024_4_FFSU_00121203830,N02AE
00228277911,AK_2024_4_FFSU_00228277911,C07AA
00078087601,AK_2024_4_FFSU_00078087601,H02AB
00406895201,AK_2024_4_FFSU_00406895201,N06BA
00093720298,AK_2024_4_FFSU_00093720298,B01AC
00186037220,AK_2024_4_FFSU_00186037220,R03CC
00406012510,AK_2024_4_FFSU_00406012510,N02AJ
00378064110,AK_2024_4_FFSU_00378064110,A07EA
00264180032,AK_2024_4_FFSU_00264180032,A12CA
00093727156,AK_2024_4_FFSU_00093727156,A10BG
00168008031,AK_2024_4_FFSU_00168008031,A07EA
00074706890,AK_2024_4_FFSU_00074706890,H03AA
00406123601,AK_2024_4_FFSU_00406123601,A03BA
00093506105,AK_2024_4_FFSU_00093506105,N05BB
00406012301,AK_2024_4_FFSU_00406012301,N02BE
00409475518,AK_2024_4_FFSU_00409475518,A04AA
00002822259,AK_2024_4_FFSU_00002822259,A10AD
00074707090,AK_2024_4_FFSU_00074707090,H03AA
00172392670,AK_2024_4_FFSU_00172392670,N05BA
00378808445,AK_2024_4_FFSU_00378808445,D10AD
00168020230,AK_2024_4_FFSU_00168020230,J01FF
00002771559,AK_2024_4_FFSU_00002771559,A10AE
00093738698,AK_2024_4_FFSU_00093738698,N06AX
00116200116,AK_2024_4_FFSU_00116200116,D08AC
00406511101,AK_2024_4_FFSU_00406511101,N06BA
00009001201,AK_2024_4_FFSU_00009001201,S02BA
00378087399,AK_2024_4_FFSU_00378087399,N02CX
00093767902,AK_2024_4_FFSU_00093767902,G03CA
00002775205,AK_2024_4_FFSU_00002775205,A10AC
00093101042,AK_2024_4_FFSU_00093101042,D06AX
00409379319,AK_2024_4_FFSU_00409379319,M01AB
00245036030,AK_2024_4_FFSU_00245036030,A12BA
00409379319,AK_2024_4_FFSU_00409379319,S01BC
00378623105,AK_2024_4_FFSU_00378623105,N06AB
00173088810,AK_2024_4_FFSU_00173088810,R01AD
