NDC,ATC4 Class
00406015401,N06BA
24385003330,A06AX
00472200216,M01AE
45802024503,A02BC
00299382230,A01AB
68180075501,C09AA
00781564101,N04BA
60505265901,N06AX
43598090158,J01DH
00641040012,S01XA
76282046318,N02CC
50102013001,G03CA
66794016002,N02AA
68382005001,M01AC
00378561705,N03AX
00378456077,A12BA
64980044801,S01CB
57237010801,C08CA
00603544821,C01BC
68462041827,R02AD
16714076501,J05AB
68001011903,C07AB
16714035903,L02AA
55111012850,S03AA
72578011904,D10AD
00078085526,H02AB
00378032710,N05AD
71858003504,H03AA
64380097106,S01BA
51672300805,S01HA
76385013101,C07AA
64980030550,A01AA
00713055550,A01AB
42858083940,N02AE
65862014305,C07AG
67457017750,G04BX
65597020330,B01AF
00378698288,A02BC
55150017410,S01AA
68001045500,N06AB
00143925001,M03AC
16729039130,L01BC
59651000823,S01AA
61703030916,L01CA
24385020503,D01AC
62011041501,N01BB
65162011510,R05DA
00023932105,S01EA
00185012801,C03CA
25021017304,J01GB
68382080510,N06AX
60505708002,N02AB
49483060350,G02CC
68462044626,V03AE
00904546052,A02AC
65862007601,S03AA
61442010201,S01BC
46122067264,R01AC
13811051810,B03BB
45802043805,S01BA
50102023513,G03AA
51672138903,D10AX
00378632001,C08DA
33342048360,H02AB
65162068312,S01BC
65862052830,N06AX
66993088445,D10AD
17478023535,J01XX
45963061455,L01CE
69918070003,M03AB
71288010610,L01DC
59762374302,J01FF
33342007810,C03AA
00378868854,G01AA
63824072283,D04AB
63323036005,B05XA
70121165101,D07AB
17478054430,C01EB
70954005920,A07EA
16571066050,R06AE
45802006435,A01AC
70677004601,C01EB
57841130103,A06AH
31722072250,J01MA
71863020205,R01AA
68180097503,H03AA
00409490434,C05AD
54643786201,A11HA
49483061801,M02AA
00093206450,B01AC
67877046705,N02BF
65862016801,C07AB
60505707505,N02AE
00781927406,N02BE
65162083703,C09CA
63323018620,B05XA
51645087006,A03AX
63323046037,R03AA
55111073290,C09CA
60951060285,N02AA
00093735598,D11AX
68382056410,C07AB
00228284903,N06AB
52565012215,S01HA
60505324703,J05AB
70000054202,D01AC
51079044520,H03AA
63323060798,B01AB
00378730853,G03AB
16714080001,C03BA
67877026118,N02CC
10542007010,S01XA
55150023805,A01AC
00378718705,A10BA
71930003652,C07AG
52544029528,G03AA
66993084635,S01CB
31722016301,N06BA
61269073063,G01AF
70594007901,J01CR
00006432903,J07AL
62011001403,M02AA
00173068224,R03CC
60219204301,H02AB
13107004501,N02BE
65862077885,G03CA
51862053504,R06AB
00245531601,B05XA
52565001915,R03BA
71921018505,S01GA
00054418425,S03BA
13668022105,N05AX
00065079550,A12CA
11980018005,A01AC
50268048111,C09AA
16714061106,N06AB
00378805501,D07AD
70121157301,D10AA
45802093716,S01BA
29300013805,N03AG
00409272031,B01AB
33342040535,R02AD
69784050101,G02CC
59651002675,J01CR
70069009101,R01AC
00591405094,G04BE
64679067901,J01CR
60687014511,A07EA
62559084101,R06AE
64380078932,C05AD
16729004201,D11AH
00378728785,G03AA
51991090701,P01AB
00574704512,A07DA
11845007551,A02AC
70710115001,C01DA
00409781124,J01XD
70121165201,R03BA
65219025915,J01CR
65862000899,A10BA
00143957510,S01HA
63739098410,N02BF
58657047316,D10AB
50228042030,N06AB
68462058458,A04AD
00409765103,B01AB
62175048537,C08DA
00121092816,D04AA
64764017530,A02BC
67457042010,D07AB
66689003801,A06AD
55150016710,N01BB
63868093510,A12CC
68382059516,C08DB
45802014300,J01GB
72888003601,C07AG
00121477240,N02AJ
42806026005,C10AB
00228365903,N04BC
00338081104,A12CA
51862087006,B03AA
70000001101,S01XA
00338066904,B05CX
43547038950,N02BF
00409710066,V06DC
64950036204,S02DA
00085222201,R03BA
63323048257,R01AA
72578009306,S01BA
00310111001,V03AE
00093681555,R03BA
52565005630,D07XB
00378164093,J02AC
00409508211,J01DD
00641611610,S01AA
00409174670,A01AD
00409272101,S01XA
68382013706,C09CA
49348018229,D07AC
59762136001,N02BF
65162051310,N02BA
50474080303,N04BC
69367016304,G04BX
51862049415,D07AC
00338004747,B05XA
63323057842,A03AB
70069001410,D11AA
00472033720,S01BA
43538094060,D07AC
00904660061,N05AB
70000039001,S02AA
60687028211,J01FA
70000054901,M02AB
16571073528,G02AB
00472037945,S01BA
33342005010,C09DA
00713056015,S02BA
00310759030,C10AA
00409234488,C01CA
66993001968,R03AC
00456046201,H03AA
13668035490,C07AB
45802015194,D07AC
68982084001,J06BA
50242091801,L01FF
68180031906,N06AX
39822555006,D04AA
68094050362,C01EB
65862078430,A02BC
50268041124,D07AA
00143211205,J01AA
62332011531,C07BB
42571024301,S01EC
00186402001,A02BC
70000043601,A02AC
51991029405,N03AF
00591243615,D10AD
67457013450,A12CC
57237021330,R03DC
00168004015,S01BA
65162016906,N06DX
24979008504,C01BC
50268019015,M03BX
31722052501,G04CB
00093117701,B05CA
00168000480,D07XB
67877056105,A10BA
00904657061,G04BD
71863011150,C05AA
49348092710,C01EB
16714008825,H02AB
67457043650,L01DB
50268063915,A02BC
00378822250,A01AB
65162010310,N02BF
78206014603,L02AA
68645058854,C03AA
00409904216,S01EA
60687042401,A01AB
70000012602,C01CA
00904759182,B03AA
35573043302,D01AC
59310080506,R03AK
60687061401,J01EA
00456402001,N06AB
24658031250,A01AB
65250026620,N01BB
45802036665,G03BA
70000026101,C01CA
70700027030,V03AC
00264762200,A12CA
69367016607,B03AA
00574705012,A06AG
62011026901,D07AC
