Model,CV_MAE_Mean,CV_MAE_Median,CV_MAE_Std,CV_MAE_Min,CV_MAE_Max,TT_MAE_Mean,TT_MAE_Median,TT_MAE_Std,TT_MAE_Min,TT_MAE_Max
Naive,11150.79141566265,6004.875,13398.358017449651,20.9375,62637.1875,11556.663009179576,6725.375,14769.407270589807,10.5,90548.5
SeasonalNaive,11390.426957831325,7518.75,13505.308598183896,29.375,69088.625,12155.696643717727,7842.3125,14999.263386794963,25.5,85704.5
HistoricAverage,13064.820621261895,6858.334821428572,20555.668420511465,90.93333333333334,133987.66249999998,10528.699089686252,5943.338541666667,16165.455934690075,63.625,106621.29166666669
WindowAverage,10458.28125,6473.03125,12204.960805792858,30.1875,60908.5,11288.429880235226,7054.125,13805.346560758639,22.0,85704.5
SARIMAX,8975.647540846412,5230.229186533556,10702.29740485298,31.61835940633857,61551.574507503225,8513.882979655702,5208.109146521167,9753.915949401946,29.505460224101142,48176.71225262727
ARIMAX,8726.543598596634,5531.392406660668,9916.745831107048,31.61835940633857,51802.88399364658,8433.766073361374,5081.137517350432,9628.453902998346,29.505460224101142,48176.71225262727
