unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge,Ensemble
IN_B05,2025-01-01,20750898.56414531,1.5225118e+07,16049147.882963073,15151862.460349448,16785749.29423101
IN_B05,2025-04-01,17841916.101790734,1.3655e+07,15454318.603518343,15480886.93715943,15599442.690193905
IN_B05,2025-07-01,13550911.688214326,1.4439381e+07,15219147.911688356,16708167.743336622,14952644.990522992
IN_B05,2025-10-01,17290745.32027016,1.6613023e+07,15769845.847771067,16926353.221218895,16589709.607086018
IN_B05,2026-01-01,19432524.092106044,1.6952248e+07,15892607.214671914,16960532.78457486,17230824.99772044
IN_B05,2026-04-01,16075270.223448562,1.729658e+07,16154334.080966027,16963076.469847087,16586473.91993713
IN_B05,2026-07-01,15333372.365937037,1.7949238e+07,16577406.303777806,17121309.6141194,16727572.057165492
IN_B05,2026-10-01,17362664.16709987,1.7524248e+07,17046386.230711523,16986183.762118444,17224751.707911357
IN_B06,2025-01-01,130179.18789974919,69357.586,42545.25354597917,139660.0675338921,91134.61227535474
IN_B06,2025-04-01,62356.8379358661,62236.555,40496.69336712589,164090.59392779192,77791.78629421232
IN_B06,2025-07-01,108116.66849297972,61881.223,38019.28701335955,152425.55360138637,85429.3649591949
IN_B06,2025-10-01,66808.82494131583,67822.39,37479.48997510471,112511.07317081012,68120.66395335583
IN_B06,2026-01-01,186590.03846472065,66164.05,40788.52796870853,188999.9003369324,114087.86956566395
IN_B06,2026-04-01,181806.39050623935,61515.984,40627.155339951736,192617.36547134467,112551.16284879718
IN_B06,2026-07-01,139630.23612646371,64920.41,39525.17452403443,166569.83371677366,97257.62740408136
IN_B06,2026-10-01,54745.13758558626,60906.996,39083.9680345554,116389.7864112024,64875.47403891331
IN_C01,2025-01-01,2851054.7366951276,2.8431315e+06,2696801.0400642324,2745349.2908407655,2779737.0327138123
IN_C01,2025-04-01,2636856.4084501653,2.46511e+06,2516812.3907429627,2608498.2051738733,2553054.7126085786
IN_C01,2025-07-01,2397088.243439626,2.3193168e+06,2511056.1061730688,2396840.7483636574,2412603.0255062697
IN_C01,2025-10-01,2682459.651420562,2.5439878e+06,2569107.743045294,2119030.713279897,2492724.763799741
IN_C01,2026-01-01,2446691.3052383973,2.7008312e+06,2682132.83460129,2064752.1712550344,2496230.953094257
IN_C01,2026-04-01,2827993.2770463615,2.8118382e+06,2748934.806119311,2027991.9298106264,2626850.877020658
IN_C01,2026-07-01,2764950.371090004,2.7743835e+06,2750772.8194848425,1989205.7474760022,2594799.803629974
IN_C01,2026-10-01,2381392.0560713788,2.6893075e+06,2736941.882425101,1942246.58460477,2467716.9948957246
IN_C02,2025-01-01,2487828.1209071954,2.707359e+06,2764250.5451705335,2781332.5832770015,2687775.101774291
IN_C02,2025-04-01,2659405.843309865,2.7438058e+06,2815033.858721703,2837125.4343192205,2765215.941951312
IN_C02,2025-07-01,2832624.653145243,2.6745645e+06,2790533.384110295,2949939.688383252,2807199.4673528285
IN_C02,2025-10-01,2749613.055184545,2.7295618e+06,2801323.560505772,3026705.9825395374,2820420.581283635
