cl1,cl2,unique_id,ds,LightGBM,XGBoost,RandomForest,Ridge,Ensemble,,model
,,IN_A06,7/1/2026,24372072.911874343,2.4231724e+07,19832049.03,19412547.551982492,21974940.395972766,,24372072.911874343
,,IN_A06,10/1/2026,24372072.911874343,2.3630866e+07,19987708.79136785,19297053.83697266,21842921.595580578,,24372072.911874343
,,IN_A07,1/1/2025,1666560.089807845,1.7617969e+06,1573009.7537508707,1360848.8989556022,1598646.606457606,,#N/A
,,IN_A07,4/1/2025,1820651.3036905408,1.8575485e+06,1784211.7842249495,1407375.5810046727,1731458.4984913813,,#N/A
,,IN_A07,7/1/2025,1811626.8511454475,1.8489041e+06,1693938.8940292539,1367408.6781498787,1692586.3354460993,,#N/A
,,IN_A07,10/1/2025,1767823.091831062,1.8134609e+06,1756387.3542829477,1375119.0872852274,1692413.1021733235,,#N/A
,,IN_A07,1/1/2026,1806363.0212328911,1.9122162e+06,1802990.1306870312,1483134.1910031317,1763321.7719090215,,#N/A
,,IN_A07,4/1/2026,1799169.9055691955,1.9214025e+06,1961936.0364577733,1512775.5007026582,1815872.9595173257,,#N/A
,,IN_A07,7/1/2026,1796464.8527312865,1.904885e+06,2062176.6473589707,1512857.1315909936,1839850.5204625262,,#N/A
,,IN_A07,10/1/2026,1783490.169323575,1.9085986e+06,2068572.165502006,1504771.3205479707,1837710.2415039123,,#N/A
,,IN_A09,1/1/2025,620136.3926321774,674799.94,545083.0582183397,682885.1830275683,625778.6551729107,,#N/A
,,IN_A09,4/1/2025,623862.3390417132,646648.3,550122.2223375494,729262.056,630898.4712547552,,#N/A
,,IN_A09,7/1/2025,647521.3860154158,678031,552392.2421576846,722533.8687745761,643891.0131938565,,#N/A
,,IN_A09,10/1/2025,663014.5106524547,666018.7,537594.1918546997,722309.3150634154,640364.5810344297,,#N/A
,,IN_A09,1/1/2026,705716.3434063774,675241.9,529345.5845,832793.0392516198,674389.4694958281,,#N/A
,,IN_A09,4/1/2026,712808.3340124261,651110.9,515445.3106070697,871439.3866398493,674266.0233580449,,#N/A
,,IN_A09,7/1/2026,710103.2811745172,644575.44,513293.01488818077,874077.1041787034,671888.379,,#N/A
,,IN_A09,10/1/2026,690450.9776336369,629816.2,521441.83918105566,869849.8502091274,664751.8984544047,,#N/A
,,IN_A10,1/1/2025,9281308.837638723,1.0803948e+07,10427881.12863939,8760667.139,9885442.626976402,,#N/A
,,IN_A10,4/1/2025,8345005.411250848,1.1547687e+07,10140290.7,8835040.461172443,9776347.641000144,,#N/A
,,IN_A10,7/1/2025,8664184.998794751,1.205641e+07,10829712.004624695,8616309.093509713,10135307.689925887,,#N/A
,,IN_A10,10/1/2025,8235387.382002267,1.2899936e+07,10741795.488323115,8614920.436087882,10217722.685762843,,#N/A
,,IN_A10,1/1/2026,8860142.894,1.1908972e+07,10724188.20235893,8690908.835772967,10131808.40118283,,#N/A
