NDC,ATC5 Class
00409799009,No RxCUI Found
16714073501,No RxCUI Found
50383058416,No RxCUI Found
00407222321,No RxCUI Found
51079013201,No RxCUI Found
62011018101,No RxCUI Found
00536344901,No RxCUI Found
00069403401,No RxCUI Found
70000018801,No RxCUI Found
59676096002,No RxCUI Found
68084041301,No RxCUI Found
50383058407,No RxCUI Found
00409662502,No RxCUI Found
00536344238,No RxCUI Found
35573044425,No ATC Mapping Found
00904582493,No RxCUI Found
00409790209,No RxCUI Found
00904645959,No RxCUI Found
00115993078,No ATC Mapping Found
55150031001,No RxCUI Found
52544003554,No RxCUI Found
76439030910,No RxCUI Found
00904198259,No RxCUI Found
16729015201,No RxCUI Found
00409125601,No RxCUI Found
60505609305,No RxCUI Found
50222050460,No RxCUI Found
68084019901,No RxCUI Found
64679072601,No RxCUI Found
58914001460,No RxCUI Found
13811053630,No RxCUI Found
00555092302,No RxCUI Found
56151170201,No RxCUI Found
50111045901,No RxCUI Found
63739067010,No RxCUI Found
00132075160,No RxCUI Found
00904053980,No RxCUI Found
16714027103,No RxCUI Found
00469650189,No RxCUI Found
00591071818,No RxCUI Found
16729037717,No RxCUI Found
13811058030,No RxCUI Found
00264446030,No ATC Mapping Found
00093308701,No RxCUI Found
55111014901,No RxCUI Found
00472015060,No RxCUI Found
49348059301,No RxCUI Found
72606000902,No RxCUI Found
60505603004,No RxCUI Found
49348010621,No RxCUI Found
00703443411,No RxCUI Found
00536103601,No RxCUI Found
51862027401,No RxCUI Found
00409792603,No RxCUI Found
62037083210,No RxCUI Found
49502020701,No RxCUI Found
73317446506,No RxCUI Found
00023588615,No RxCUI Found
53746025402,No RxCUI Found
00186109205,No RxCUI Found
68001011807,No RxCUI Found
00115151246,No RxCUI Found
65628008010,No RxCUI Found
00409321309,No RxCUI Found
68094017161,No RxCUI Found
00407141234,No RxCUI Found
68094002862,No RxCUI Found
63739052301,No RxCUI Found
62107003001,No RxCUI Found
60505068104,No RxCUI Found
50419034410,No RxCUI Found
00172541160,No RxCUI Found
00472120150,No RxCUI Found
00143126401,No RxCUI Found
00115168134,No RxCUI Found
00904678744,No RxCUI Found
00781313271,No RxCUI Found
00006046106,No RxCUI Found
00409127632,No RxCUI Found
47781033201,No ATC Mapping Found
75854031828,No RxCUI Found
50111047102,No RxCUI Found
00904026013,No RxCUI Found
49884087201,No RxCUI Found
68025005930,No RxCUI Found
00115423301,No RxCUI Found
71351001503,No RxCUI Found
68001033700,No RxCUI Found
63020004904,No RxCUI Found
00378969152,No ATC Mapping Found
00781580631,No RxCUI Found
63739064010,No RxCUI Found
70165000315,No RxCUI Found
13668003305,No RxCUI Found
00904623761,No RxCUI Found
00409409211,No ATC Mapping Found
00574206302,No RxCUI Found
00409492134,No RxCUI Found
00536077097,No RxCUI Found
00517179101,No RxCUI Found
64679075802,No RxCUI Found
00904586061,No RxCUI Found
71104080401,No ATC Mapping Found
13668016130,No RxCUI Found
50967041030,No RxCUI Found
00023530030,No RxCUI Found
00703704103,No RxCUI Found
17478084030,No RxCUI Found
13668057410,No RxCUI Found
00087040501,No RxCUI Found
00536000486,No RxCUI Found
00013871762,No RxCUI Found
00145062805,No RxCUI Found
00053768033,No RxCUI Found
00536109811,No RxCUI Found
00002750201,No RxCUI Found
00536203007,No RxCUI Found
00409488720,No RxCUI Found
51991080890,No RxCUI Found
68382076114,No RxCUI Found
00002791001,No ATC Mapping Found
00904698160,No RxCUI Found
00574041207,No RxCUI Found
00603028221,No RxCUI Found
57664056999,No RxCUI Found
00093001298,No RxCUI Found
00074712613,No RxCUI Found
36000019184,No RxCUI Found
00904662735,No ATC Mapping Found
52565001829,No RxCUI Found
00409113502,No RxCUI Found
70677002501,No RxCUI Found
68180012402,No RxCUI Found
00409475501,No RxCUI Found
00002877059,No RxCUI Found
00536440810,No RxCUI Found
00245053660,No RxCUI Found
00310075190,No RxCUI Found
00409117101,No RxCUI Found
58657016490,No RxCUI Found
64376061216,No RxCUI Found
62037083001,No RxCUI Found
68084059201,No RxCUI Found
00409228721,No RxCUI Found
70000011101,No RxCUI Found
00904697960,No RxCUI Found
64253022233,No RxCUI Found
56151147002,No RxCUI Found
65162055310,No ATC Mapping Found
58468009001,No ATC Mapping Found
00187137326,No RxCUI Found
13811053530,No RxCUI Found
49281042010,No RxCUI Found
00065074112,No RxCUI Found
00053768032,No RxCUI Found
50268030811,No RxCUI Found
76204080001,No ATC Mapping Found
51645074010,No RxCUI Found
36000012778,No RxCUI Found
00536338101,No RxCUI Found
00904565761,No RxCUI Found
