NDC,ATC5 Class
00023040370,No ATC Mapping Found
00990792225,No RxCUI Found
00172541146,No RxCUI Found
46122008402,No RxCUI Found
68094071662,No RxCUI Found
60505294503,No RxCUI Found
51759000202,No RxCUI Found
66993002327,No ATC Mapping Found
68001048225,No RxCUI Found
70000043201,No RxCUI Found
00536333401,No RxCUI Found
53746017810,No RxCUI Found
00407141509,No RxCUI Found
68180012401,No RxCUI Found
61314001505,No RxCUI Found
51645074099,No RxCUI Found
62542020030,No RxCUI Found
11994000320,No RxCUI Found
00781565615,No RxCUI Found
00096072516,No RxCUI Found
61314001510,No RxCUI Found
00172531260,No RxCUI Found
00603465402,No RxCUI Found
71104080101,No ATC Mapping Found
00603917154,No RxCUI Found
65219028108,No RxCUI Found
65162066850,No RxCUI Found
00591271701,No RxCUI Found
66689000950,No RxCUI Found
00113032365,No ATC Mapping Found
00591562001,No RxCUI Found
00172435860,No RxCUI Found
13668012030,No RxCUI Found
10019061103,No RxCUI Found
00591093201,No RxCUI Found
00603543821,No RxCUI Found
51285020401,No RxCUI Found
00409798309,No RxCUI Found
13668003305,No RxCUI Found
56151211201,No RxCUI Found
11994001720,No RxCUI Found
13668002030,No RxCUI Found
00065143205,No ATC Mapping Found
00023920515,No ATC Mapping Found
00603138458,No RxCUI Found
00074321032,No RxCUI Found
00536352141,No RxCUI Found
00074148202,No RxCUI Found
24385007026,No RxCUI Found
50419034405,No RxCUI Found
00517490525,No RxCUI Found
00591078001,No RxCUI Found
00536138793,No ATC Mapping Found
00406036601,No RxCUI Found
00264410095,No RxCUI Found
10019001303,No RxCUI Found
65757040303,No ATC Mapping Found
64661071130,No RxCUI Found
69543025910,No RxCUI Found
65628008010,No RxCUI Found
00185010210,No RxCUI Found
00548590000,No RxCUI Found
00591082501,No RxCUI Found
00093415073,No RxCUI Found
00574018101,No RxCUI Found
00407141360,No RxCUI Found
00832108000,No RxCUI Found
00409792313,No RxCUI Found
72786011103,No RxCUI Found
70573009902,No ATC Mapping Found
65162055310,No ATC Mapping Found
00121457730,No RxCUI Found
00093003901,No RxCUI Found
00338001308,No RxCUI Found
00781223331,No RxCUI Found
52544095428,No RxCUI Found
00603781878,No RxCUI Found
00093511898,No RxCUI Found
00378182301,No RxCUI Found
00093720656,No RxCUI Found
68382076506,No RxCUI Found
00310027139,No RxCUI Found
00641614710,No RxCUI Found
00472125594,No RxCUI Found
69097099807,No ATC Mapping Found
51293080101,No RxCUI Found
23359010030,No RxCUI Found
50991097730,No RxCUI Found
61269015501,No RxCUI Found
00409475561,No RxCUI Found
51991061690,No RxCUI Found
00093414856,No ATC Mapping Found
00093744001,No RxCUI Found
50419032509,No RxCUI Found
00591319872,No RxCUI Found
63323013010,No RxCUI Found
00904051860,No RxCUI Found
00904518640,No RxCUI Found
40085021560,No RxCUI Found
00904586061,No RxCUI Found
43598061611,No RxCUI Found
68001032205,No RxCUI Found
00093716898,No RxCUI Found
00591271801,No RxCUI Found
61748002416,No RxCUI Found
42192032130,No RxCUI Found
00087510003,No RxCUI Found
70677115401,No ATC Mapping Found
00407141238,No RxCUI Found
63323082005,No RxCUI Found
00093014901,No RxCUI Found
42494043230,No RxCUI Found
